stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,22.03,461.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0,0,0,0,0,0
  5-6,6.75,538.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,14.25,0,0,0,0,0,0,0,0
  7-9,18.97,76.92,0,32.23,0,0,0,178.55,0,0,0,0,0,44.73,0,0,0,0,0,0,0,0,0,0,0,673.32,48.29,0,0,341.91,0,6.94,0,0,0,0,0,0,0
 10-12,0,14.39,0,55.51,0,4.67,0,64.55,0,0,0,0,0,19.77,0,0,0,0,0,0,0,0,0,0,0,861.14,29.91,0,0,393.51,0,54.49,6.12,137.77,0,3.87,0,0,0
 14-21,0,0,0,0.84,14.17,2.28,0,21.52,0,0,0,0,1.33,0.81,0,0,0,0,0,0,0.91,5.1,0,0,7.86,134.41,0.94,0,0,0.98,0,0,36.53,0.87,1.38,43.86,17.74,1.06,0
 24-34,0,0,0,2.28,9.68,2.16,0,46.25,0.68,0,1.28,1.32,3.33,2.8,0,3.17,2.87,0,0.63,2.33,0,23.75,0,0.82,8.54,151.98,0.63,0.68,0,0,2.84,0,0,1.67,5.48,19.03,9.61,2.63,0
 36-46,0,0,0,0,2.07,0,0,20.01,1.96,0,0,6.06,0.95,0,0,0.67,0.89,0,0,0.61,0,17.05,0,0,8.64,115.13,0.56,0,1.54,0,0.73,0,0,2.61,1.68,0,4.57,0,1.9
 48-58,0,0,0,0,0.85,0,0,43.09,0.38,0,2.75,4.44,0,2.79,0,1.04,4.11,0.42,0,0,0.74,14.18,0,0,4.2,45.57,0,0.81,1.03,0,1.33,0,0,0,6.12,0,5.49,0.39,1.28
 60-70,0,0,0,0,3.6,0.77,0,40.08,15.41,0,5.86,17.73,10.32,0,0,1.88,0,0.66,0,0,1.05,15.37,0,0,12.66,114.53,0,0.89,0.6,0,2.71,0,0,1.35,1.72,0,6.52,1.05,2.89
 72-82,0,0,0.58,0,3.59,0.61,0,45.05,0,0,7.03,36.57,3.14,0,0,3.44,3.78,0,1.35,0.68,0,31.63,1.47,1.82,17.42,90,0,0,2.36,0,10.74,0,0,6.44,1.29,0,16.27,0,0
 84-94,0,0,1.44,0,1.7,2.06,0,54.34,0,0,4.42,15.76,3.24,0,0,4.11,1.5,0.62,0,0,0,24.22,1.39,1.19,10.3,62.5,20.59,0,6,0,21.72,0,0,2.26,0.61,0,0.64,5.65,0
 96-106,0,0,0.91,0,17.46,0,1.77,52.89,7.8,0.56,0.71,24.53,3.77,0,0,2.86,2.41,1.2,0,12.12,0,42.52,2.47,0,10.53,71.05,2.63,2.6,2.14,0,40.8,0,0,0,0.6,0,3.25,5.46,10.08
108-118,0,0,0.97,1.1,23.99,4.56,5.84,52.32,3.52,3.28,4.41,19.68,2.61,0,0.69,6.66,4.21,1.66,2.47,2.11,0,63.98,0,2.23,18.27,122.77,2.02,1.1,3.82,0,34.72,0,0,1.31,2.71,0,2.91,2.35,7.71
120,0,0,0,0,70.79,6.23,0,35.54,2.79,12.73,3.92,46.94,2.86,0,0,22.78,9.54,0,2.98,3.98,0,130.74,0,3.62,34.74,243.04,0,0,11.2,0,37.69,0,0,1.21,17.96,0,7.57,9.22,0
