stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,0.94,0,0,0,0,0,5.33,0,15.63,0,0,0,0,0.91,4.9,0.89,61.1,0,0
 24-34,0,0,0,0,0,0,0,4.36,0,2.96,4.52,0,0,0,0,0,0,1.48,2.76,0
 36-46,0,0,5.64,0,0,0.62,0,0.84,0,0.61,4.53,0,0,0,0,0,0,0,0,0.61
 48-58,0,0,308.82,0.87,0,0,0,1.42,0.45,1.3,69.43,0,0.42,0,5.08,0,0,0,1.73,0
 60-70,0,0,48.2,0,0,0,0,8.88,0,0,5.28,0,0,0,0,0,0,0,0,0
 72-82,0,1.94,54.29,0,0.88,0,0,6.25,0,0,658.02,0,0,0,0,0,0,0,14.33,0
 84-94,1.01,0,24.51,0,0,0,0,1.85,0,0,24.84,0,0,0,3.2,0,0,0,0,0
 96-106,1.26,2.38,30.75,0,0,0,0,5.06,0,0,53.41,0,0,0,0,0,0,0,1.45,0
108-118,0,0,46.43,1.26,0,0,0.78,1.56,0,0.75,7.91,0,0,0.48,0.44,0,0,0,0,0.59
120,2.62,1.38,61.1,0,0,0,0,20.49,0,0,40.98,2.52,0,1.05,0,0,0,0,0,0
