stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,31.2,1031.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.3,0,0,0,0,0,0
  5-6,40.21,1772.97,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,31.2,0,0,13.59,83.84,0,0,0,0,0,0
  7-9,27.39,92.41,138.49,0,0,94.15,0,0,0,50.6,0,0,0,0,0,0,0,1715.49,0,0,307.81,0,0,0,0,0,0,0
 10-12,0,29.15,13.65,0,0,107.42,0,0,0,5.85,0,0,0,0,0,0,0,517.7,0,0,36.03,0,0,0,0,0,0,0
 14-21,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,1.52,7.74,3.79,0,0,0,0.94,0,2.02,0,0,0
 24-34,0,0,0,0,0,4,0,0.73,0,0,0,0,0,0,0,0,0.7,35.62,0.73,0,0,0,0,0,5.35,0,0.98,0
 36-46,0,0,0,0,0,1.44,0,8.63,0,0,0.84,0,0,0,0,0,0,48.92,0,2.67,0,0,0,0,4.57,0,0,12.23
 48-58,0,0,0,0,0,2.54,0,13.72,0,0,0,0,0,0.48,0.38,0,0,14.09,0,0,0,0,0,2.86,0.58,0,0,7.41
 60-70,0,0,0,0,0,4.85,0,6,0,0,0,0,0,0,0.67,0,0,5.38,2.55,0,0,0,0,0,1.51,0,0,2.1
 72-82,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,8.76,1.47,0,9.24,0,0.49,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.73,2.38,0,0.97,0,0,0,0,0,2.71,0,0,5.28,0,0.69,0,0,0,0,0,0,0,3.54
 96-106,0,0,0,0,3.2,5.43,0,0.57,0,0,0,0,0,0,0,0,0,7.79,0.58,0,0,0,0,0.78,0,0,0,0
108-118,0,0,0,0,3.07,11.65,0,1.13,0,0,0,0,0,0,0.72,0,0,1.03,0,2.57,0,0,0,0,0,1.8,0,0.87
120,0,0,0,0,0,11.38,0,0,0,0,0,1.88,1.77,0,0,0,0,2.44,0,0,0,6.4,0,0,0,0,16.64,3.14
