stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,75.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,0,0,6.01,0,0,0,0,0,0,0
 14-21,0,0,0,11.46,0.91,0,0,0,0,0,0,2.63,0,0,0,2.07,0,0,5.11,20.38,0,0,0.85,12.05,1.62,2.41,0,0,0,0
 24-34,0,0,0,6.02,0,0.89,1.57,0,0,0,0.6,0,0,0,0,3.68,0,0,1.6,20.2,4.05,0,0,61.17,0,11.32,0,0.73,0,0
 36-46,0,0,0,7.27,0,1.28,1.36,0.82,1.06,0,0,13.14,0,0,0,7.8,0,0,0.68,41.48,1.81,0,0,78.37,0,7.8,0,0.76,0,0.67
 48-58,0,0,0.44,13.76,0,5.62,2.04,0.51,4.2,1.54,3.52,0,1.02,0,0,1.76,1.66,0,0.48,52.02,0.88,0.41,0,51.12,0,2.98,0,0,0,0
 60-70,0,0,0,7.22,0,32.18,7.68,0,0.96,0.62,0,1.16,0.73,0,0,2.73,1.01,0,0,71.3,0,3.17,0,95.71,0,10.1,2.51,3.81,0,0
 72-82,0,0,0.68,11.53,0,15.73,2.39,1.07,7.74,2.11,0.68,2.68,2.09,0,0,1.42,6,0,0,71.24,2.94,0.57,0,18.51,0,1.6,0.94,0.64,0,0
 84-94,0,0,0,11.04,4.33,14.56,8.35,0,6.38,3.91,0.79,2.55,1.74,0,0.91,4.57,6.24,0,1.83,30.57,1.37,0,0,57.78,0,3.57,1.46,0,0,0
 96-106,0,0,0.95,24.69,0,31.32,1.36,0,4.59,3.52,1.6,4.41,1.02,0,0,7.55,0,0,0,70.71,0.56,1.93,0,44.11,0,0,0,0,1.22,0
108-118,0,0,0,15.96,0,11.69,7.05,0,5.59,2.93,0.65,0,2.36,4.75,0,12.2,1.25,6.39,0,34.86,4.22,2.04,0,46.21,0,2.64,0.44,0,1.11,0
120,0,0,0,25.09,0,20.31,2.45,0,0,1,6.93,0,0,0,0,16.82,0,0,0,88.31,2.49,0,0,58.57,0,14.14,0,0,0,0
