stage,blastomeres,erythrocytes,eye,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,14.62,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.99,0,0,0
 14-21,0,1.44,0,0,0,1.04,0,0,0,0,0,0,4.36
 24-34,0,0,0,0,0,0,0.83,1.09,0,0,2.19,0,25.56
 36-46,0,0,1.19,0,0,0,0,0,0,0,0,0,10.38
 48-58,0,0,0,0.45,0,0,0,1.16,0,0,0,0,14.84
 60-70,0,0,0,0,0,0,0,3.59,0,0,0,0,16.85
 72-82,0,0,0,0,0,0.64,0,0,0,0,0,0,34.77
 84-94,0,0,0,0,0,0.92,0,0,0,0,0,0.65,21.52
 96-106,0,0,0,0,2.41,0.96,0,0,1.75,0,0,0,18.71
108-118,0,0,0,0,1.29,0,0,0.51,0,0,0,0,12.04
120,0,0,0,0,0,0,0,0,0,0,0,0,17.38
