stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9.17,5.52,6.76,0,0,12.52,0,0,0,6.71,0,0,0,1.2,0,1.86,350.42,0,0,0,0,2.81,4.5,0.91,0,1.79,52.33,0,0,0,3.62
 24-34,0,6.11,3.3,24.04,0,0,13.05,0,1.56,0,1.29,0,0.98,0.7,24.88,1.52,3.21,694.29,1.81,0.65,2.06,0,4.06,0,7.9,0,1.53,118.25,0,2.37,0,4.69
 36-46,0,2.89,0,24.13,0,0,5.28,0,0,0,0,0,0,1.87,13.61,1.06,4.02,283.19,0,3.18,0,0,1.31,0,6.66,0.7,0,58.53,0,5.36,0,0
 48-58,0,5.67,0,37.51,6.54,0.45,10.99,0,0,0,0,0,0.49,0,18.79,0,0.94,133.45,0,0.5,0.4,0,0,0,1.29,0,0,46.82,0,4.89,0,0
 60-70,0.62,6.29,0.56,34.72,0.63,0,9.07,0,0,0,0,0,0,5.46,18.68,0,1.98,104.38,0,1.42,0.76,0.71,0.6,0,1.35,0,0,35.67,0,0,0,0
 72-82,1.58,1.66,2.3,88.52,0,0.49,26.12,0.51,0.89,0,0,0,1.89,0,36.31,0,1.07,198.29,0,4.97,1.39,1.4,0,0,0,0,0,15.65,0,0,0,0
 84-94,0,2.56,0.69,32.58,0,0,26.55,0.57,0,0,0,7.74,2.31,0,15.38,0,0,39.16,0.94,1.9,0.71,0,2.16,0,2.22,0,0,12.8,0,1.94,0,0
 96-106,0,0.6,1.75,27.86,0,0,27.97,2.22,0,0.56,0,10.79,0,0,11.7,0,0.9,59.5,0,0.98,2.21,0,0.58,0,1.34,0,0,7.78,0.58,0.81,0,0
108-118,0,4.86,4.47,9.91,0,0,36.81,0,0,2.06,0,0,0,0,12.78,0,1.13,62.23,1.68,1.41,0.92,0,0,0,2.03,0,0,4.54,0,0,0.72,0
120,0,7.85,2.41,45.77,0,0,26.13,0,0,4.26,1.63,0,0,0,4.24,0,3.2,141.73,0,0,2.3,0,0,0,4.05,0,0,1.34,1.37,0,0,0
