stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.01,0,0,0,31.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,23.04,0,0,30.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.98,1.74,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,0,0.81,0,18.15,0,0,4.33,0,0
 24-34,0,0,0,0,8.72,0,0.85,0,0.73,0,0,0,0,0,0,0,0,1.64,0,0,0,324.08,0,8.92,0,0,0,0,0,0,76.85,0,0,0,0,0
 36-46,0,0,0,0,5.15,0,0,0,12.83,0,1.14,0,0,0,0,0,0,2.32,0,2.04,1.52,916.96,0,16.88,0,0,0,0,0,0,160.5,0,0,0,0,0
 48-58,0,0,0.6,4.71,82.22,0,0,0.43,27.12,0,0,0,3.61,0,0.38,0,0,7.69,0.47,0,2.28,1436.51,0,9.31,0,0,0,3.02,0,0,219.59,0,0,0,0,0
 60-70,0,0,4.76,0.64,207.43,0,14.8,3.28,29.35,0,0,0,0,14.36,0,0,0,21.16,0,0,0.72,2430.17,4.58,12.9,0,0,0,7.07,0,0,305.13,0,0,1.09,0,0
 72-82,0,0,5.15,0,377.04,1.87,0.5,0,38.16,0,0,0,0,0,0,0,3.96,39.27,0,1.75,8.48,2553.21,0,44.88,0,0,0,1.69,0,0,229.77,0.51,0,2.53,8.92,7.57
 84-94,0,0,8.65,5,310.93,0,2.03,8.01,52.72,0,0,5.31,1.25,0,0,0,0,36.91,0,0.92,2.28,1956.33,0,13.46,6.78,0,0,4.65,0,0,240.47,0,1.64,5.56,4.95,0
 96-106,0,1.15,5.13,16.32,346.82,0,1.91,0,25.76,1.38,0,4.93,0,0,0.71,18.48,0,38.39,0,6.77,1.21,1514.15,0,26.38,3.47,0,3.48,3.49,0,0.84,101.81,0.83,0,2.96,1.5,0
108-118,0,0,11.49,3.37,288.85,0,0.56,0.87,26.81,0,0,2.4,0,0,0,0,0,34.76,0,0,1.51,2176.71,0,13.12,3.34,0,0,1.19,0,0,100.32,1.56,0,5.31,0,0
120,0,0,30,2.04,532.79,2.05,0,0,82.9,8.37,0,0,0,0,0,9.22,0,34.44,0,0,10.09,4003.89,0,24.7,0,0,0,5.35,0,0,131.18,0,9.27,49.73,0,0
