stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.47,0,0,0,0,0,0,0,11.59,0,0,13.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49,0,0,6.5,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.11,6.57,0,0,0,0,1.03,1.98,5.64,0
 24-34,0,0.82,0,0,0,7.39,0,0,3.54,0,0,2.45,1.85,37.39,1.6,0,0,0,0,1.64,7.85,0
 36-46,0,0,2.39,0,0,22.42,0,0,0,0,0,0.83,0.82,40.68,1.3,0,0,0,0,0,9.89,5.92
 48-58,0,0,0,0,0,7.2,0,0,4.1,0,0,2.04,0.81,25.57,1.04,0,0,0,0,0,5.77,0.4
 60-70,0,0,0,0,0,6.94,0,0,6.18,0,1.79,0,1.12,15.39,0,0,0,0,0,0,6.53,0
 72-82,0,0,0,0,0,6.87,0.82,1.16,2.99,0,0,2.32,0,15.37,7.53,0,0,2.52,0,0,0,0
 84-94,0,0,1.89,0,0,0.55,0,0,2,0,0,1.25,0,11.59,0,0.57,0,0,0,0,0,0
 96-106,0,0,0,5.55,0,0.87,0,0,1.59,0.8,0,1.16,0,4.69,0,0,0,0,0,0,0,0
108-118,0,0,1.09,0,1.17,0,0,0,0,0.66,0,3.47,0,2.6,0,1.31,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,38.64,0,0,0,0,0,0,0,0
