stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.33,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.27,0,0,0,4.65,0,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.1,0,1.96,10.88,0,0,0,0,0,0,6.79,0,0,0.84
 24-34,0,0,0.8,0.67,0,0,0,0,0,0,4.89,0,0.6,6.26,0,0,0,0,0,0.64,1.91,1.85,0,0
 36-46,0,0,4.44,0,1.17,0,0.64,0,0,0,0,0,0,12.83,0,0.86,0,0,0,0,3.83,0,0,0
 48-58,0,0,0,5.34,0,0,4.18,0,0,0,1.88,0,0,11.32,0,0,0,0,0,0,1.3,0,0,0
 60-70,0,0,0.58,1.28,0,0,0,0,0,0,1.32,2.41,0,17.02,0,0,0,0,0.6,0,2.83,0,0,0
 72-82,0,0,0,10.93,0,0,0,0,0,0,6.23,0,0,8.27,0,0,0,0.51,0,0,2.25,0.71,0,0
 84-94,0,0,0,0.88,0,0,0.99,0,1.45,4.67,0.67,0,0,14.35,0,0,0,2.2,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.35,0,0,0,0,0,0.68,5.87,0,0,0.62,0.58,0,0,0,0,2.17,0
108-118,0,0,2.3,0,0,0.56,2.73,0,0,0,6.04,0,0.56,18.48,0,0.79,0,0.48,0,0,0,0,0,0.82
120,0,0,0,0,0,0,3.27,0,0,0,4.34,0,0,18.78,1.55,0,29.5,0,0,0,0,0,0,0
