stage,axial,blastomeres,neural,paraxial_mesoderm
  3-4,14.11,76.47,0,0
  5-6,11.85,50.11,0,0
  7-9,4.22,0,16.53,3.65
 60-70,0,0,3.68,0
 84-94,0,0,1.61,0
