stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,23.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,1.12,0,0.97,0,1.45,0
 24-34,0,0,0,0,0,0,0,1.7,0.69,0,0.6,0,0,17.11,0.7,0,0,0,0,0.74,0,0
 36-46,0,0,0,0,0,0,0,0.83,0,0,0,0,0.83,5.05,0,0.56,0,0,0,0,0,0
 48-58,0,0,0,0.66,0,2.55,0,0,0,0,0.94,0,0,5.79,0,5.76,0,0,0,1.24,0,2.49
 60-70,0,0,0,1.89,0,0,0,0,0,0.93,1.41,0,0,3.71,0,0,0,0,0,0.87,0,0
 72-82,0,3.96,0.89,5.68,0,0,0,0,1.07,0,0,0,0,18.89,0,0,0,0,0,0,0,0
 84-94,0,0,4.55,2.93,1.41,0,0.78,0.91,5.37,0,0,0,0,5.14,0,0,0,0,0,0,0,0
 96-106,0,0,3.03,0,0,0,0,0,0,0,2.55,0,0,1.7,0,0.85,0,0,0,0,0,0
108-118,0,0,0,0,0.55,0,1.82,0,1.73,0,2.29,1.04,0,7.75,0,0.44,0,0,0,0,0,0
120,0,0,10.93,7.78,31.49,0,0,0,0,0,0,0,0,7.91,0,0,0,1.08,0,0,0,0
