stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,72.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,21.01,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,117.47,0,0,0,8.74,0,0,0,0,3.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,32.18,5.06,0,6.27,0,0,0,0,0,0,0,0,0,0,0,25.76,0,8.57,0,0,7.83,43.5,0,0,0,0,0,0,0,1.22,0,17.13,3.55,10.7,0,0,0,0,0
 24-34,0,0,0,50.41,0,0,524.39,0,0,0.83,0,0,0,0,0,1.25,0,0,4.71,0,9.37,0,0,3.68,13.85,0.67,0,0,0,0,3.89,0,0,0,0,0,5.76,0,0,1.9,0,0
 36-46,0,0,0,62.75,0,0,1789.17,0,1.23,3.5,0,0,0,0,0.64,0,0,0,1.69,0,2.68,0,0,0.8,26.04,0,0,0,0,0,16.57,0,0,0,0,0,4.76,0,0,0,0,0
 48-58,0,0,0,112.5,0,0,5422.95,0.81,6.68,2.97,12.66,0,0,0,0.43,0,0,0,0,3.77,16.21,3.36,0,7.11,174.99,0.96,0,0,0,0,14.65,0,0,0,0.45,0,12.68,0,0,2.72,0,1.17
 60-70,2.52,0,0,8.44,0,0,17820.49,0,5.84,4.89,13.08,0,0,0.76,2.77,5.54,6.73,0.77,0,0,44.38,0,7.24,5.16,201.02,0,0,0,0,0,20.68,0,0,3.74,0,0,20.7,0,0,0,0,8.01
 72-82,0,0,1.09,33.33,14.34,0,19059.68,14.99,0.55,4.74,48.07,8,0.67,3.47,1.86,2.57,5.97,0.65,10.75,3.31,62.32,0,1.14,5.09,280.07,0.55,5.52,14.31,0,0,10.52,0,0,0,0,0,18.2,5.84,0,8.3,6.87,16.37
 84-94,0,0,2.9,71.9,17.39,0,23494.7,2.27,0.82,5.41,48.64,2.37,0,0,4.13,0.77,0,1.05,3.62,0,95.53,2.26,9.62,15.9,149.99,2.35,1.98,5.03,0,0,4.55,0,0,2.26,0,0,12.86,3.01,5.71,6.92,7.33,25.08
 96-106,0,0,0.95,16.67,45.63,0,14510.74,3.52,0.65,3.82,42.5,0,0,1.33,8.49,5.4,8.89,2.1,30.48,0,48.66,1.96,3.02,7.43,232.88,2.06,2.4,9.7,0,4.32,32.96,0,0,1.06,2.64,0,5.88,5.21,5.73,5.49,2.77,15.2
108-118,56.9,0,2.35,18.21,18.46,1.05,14035.23,0.67,3.42,0.62,41.51,0.54,0,2.98,0,1.81,0,0,8.54,0,76.46,7.26,5.7,11.19,361.91,5.01,0.45,0,0,4.63,8.79,0,0,1.69,0,0,21.32,1.07,0,2.37,1.15,6.69
120,0,0,0,5.25,4.7,0,9986.89,0,8.88,0,40.51,0,0,0,9.83,1.48,0,1.88,3.79,0,43.74,1.47,8.68,0,269.26,0,0,2.45,0,0,1.12,2.5,0,0,0,0,8.38,0,0,9.72,0,0
