stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,91.73,1936.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.89,0,0,0,0,0,0,0,0
  5-6,28.82,577.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.49,5.36,4.05,0,0,0,17.62,0,0,0,0,0,17.81,0,0,0,0,0,0,0,0,0,225.2,0,0,0,61.9,0,0,0,0,0,0,0,0,0
 10-12,0,8.94,22.67,0,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8,18.97,0,0,32.12,0,0,35.43,0,0,0,0,0,0
 14-21,0,1.36,0,0,101.74,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0.82,0,0,2.06,21.37,0,0.87,0,1.33,0,2.21,0,0,2.56,0,32.16,0,0
 24-34,0,0,0,1.29,3.58,0,1.46,0,0,0,2.6,0,0,0,0,0.81,0,0,2.9,0,0,1.73,22.37,0,0.9,0,0,0,0,0,0,7.14,0,206.72,0,0
 36-46,0,0,0,1.08,10.47,0,2.02,0,0,0,3.39,0,0,0,0,0,0,0,5.63,3.65,0,0.66,56.58,0,0,0,0,0,0,0,0,1.53,0,826.19,0,0
 48-58,0,0,0,0,0,0,9.66,0,0,0.97,6.97,0,0,0,0,8.74,0,0,10.4,0,1.64,1.52,19.53,0,0,1.21,0,3.89,0,0,10.08,4.27,0,682.44,0,0.71
 60-70,0,0,0,0.71,0,0,12.17,0.87,0,0.73,12.03,4.03,0,0,0,0,0,0,6.15,0,1.04,0.68,36.06,0,0.89,0,0,0.93,0,0,0,7.07,0,449.52,0,0
 72-82,0,0,0,0,0,0,9.21,1.41,0,7.54,14.01,0,0,0,0,0.74,0,1.81,28.64,0,0.62,0,49.81,0,0,1.33,0,0,0,0,0,8.15,0.85,677.38,5.3,0.67
 84-94,0,0,0,0.98,0,0,6.99,0.75,0,0.86,5.53,0,0,0,1.3,0.8,1.97,0,11.77,0,0,0.68,42.87,0,0,0,0,0.65,0,0,0,14.23,0,855.37,1.36,0.7
 96-106,0,0,0,0,1.27,1.05,4.74,0,0,0,5.58,0,0,0,0.78,0,0,0,14.84,0,1.84,6.99,32.15,2.22,0,0,0,0,0,0,0,0,0,685.89,1.08,0
108-118,0,0,0,1.51,13.31,0,9.56,1.51,2.12,0,4.14,0,0,0,0,0,0,0,23.34,0,0.69,0.97,43.53,0,0,1.56,0,0,0,0,0,0,0,560.13,5.66,0
120,0,0,0,1.52,0,0,15.27,0,0,0,6.34,0,0,0,3.85,0,0,0,3.84,0,2.03,2.11,36.11,0,0,0,0,3.34,0,0,0,0,0,1219.7,0,0
