stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,lateral.line,mesenchyme,mural.cell,neural,otic,spinal.cord,vasculature
  3-4,13.26,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,17.53,0,0,0,0,0,0,0,0,0,3.28
 36-46,0,0,8.09,0,0,0,1.17,0,0,0,0,0,0
 48-58,0,0,3.39,2.11,0,0,0,0.56,0,1.73,0,0,0
 60-70,0,0,8.54,7.96,2.8,0,0,1.55,0,0,0,2.85,0
 72-82,0,0,3.54,8.61,0,0,0,1.98,0,0,0.84,0,0
 84-94,0,0,10.02,15.49,0,1.36,0,1.64,0,3.1,0,0,0
 96-106,0,0,10.15,15.12,0.57,0,0,0,0,2.15,0,0,0
108-118,0,0.74,19.43,22.45,3.73,0,0,12.52,1.03,5.12,0.5,0,0
120,0,0,12.7,24.17,0,0,0,21.07,11.74,0,0,0,0
