stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,3.6,1.61,1.83,0,0,1.75,0,0.9,1.12,7.4,0,0,1.88,0.95,5.06,0,0
 24-34,0,0,0.78,0,0,0,0,2.79,1.37,19.79,0.67,3.14,0,0,5,0,0
 36-46,1.2,0,1.64,0,0,3.44,0,2.98,0,16.8,0.6,3.26,0,0,0,0,0.75
 48-58,0,0,3.49,0,0,1.99,0,10.12,0.38,6.3,0,4.01,0,0,0.56,0,0
 60-70,1.68,0,3.22,0,0.81,2.09,0,4.48,0,4.89,0,0,0,0,0,0.94,0
 72-82,0,2.25,0.98,0,0,2.96,0,3.21,0,3.74,0,0,0,0,0,0,0.82
 84-94,0,0,2.52,0,0.67,0,0,3.21,0,0.67,0,0,0,0,0,0,0
 96-106,0.8,0,0.88,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0
108-118,0.47,0,3.98,0.47,0,4.02,4.09,3.1,0,1.84,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.49,2.71,0,15.18,0,0,0,0,0,0,5.85
