stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0,0,0,2.03,0,0,0,0,0,0,0,4.95,0,0,0,0,1.15,0,0,0.85,8.38,0,0,0,0,0,0,1.01,0,2.72,2.78,0,0,0,0,0
 24-34,0,0,1.62,0,0,0,1.71,0,0,0,1.37,0,0,0,71.07,0,0,0,29.87,0.81,5.98,0,4,136.38,0,0,0.74,0,0,1.58,0,0,0.6,18.73,0,0,0,0,0
 36-46,0,0,0,5.61,0,0,5.3,0,0,0,3.88,0,1.45,0,70.75,0.86,0,0,157.44,9.91,0.88,0,3.2,505,0,0.64,0.91,0,0,0,0,0,0,54.58,0,0,0,0,0.67
 48-58,0.77,0,1,3.06,0,0,72.07,0,0,0,28.36,0,1.02,0.98,11.51,5.08,0,0,180.32,10.03,0.89,0,0.76,834.18,5.31,0,0.54,0,0,1.62,0,0,0,74.17,0,0,0.55,0,2.14
 60-70,0,0,2.34,13.28,0,0,297.85,0,6.55,0,62.93,1.85,0,2.75,11.91,15.35,1.55,0,88.46,6.82,0,0,0,1189.59,0,0,2.12,0,0,2.38,0,0,0,89.69,0,0,0,0,4.63
 72-82,0,0,8.19,5.94,1.07,0,364.51,0,1.99,0,173.6,3.39,0,1.97,12.27,3.52,3.49,10.73,72.56,10.67,1.21,0,0.61,938.34,0,1.16,9.49,0,0,3.57,0,0,0,54.67,0,0,0,0,17.34
 84-94,0,0,6.68,13.24,0,0,353.87,0.79,0,1.9,147.73,13.53,0,3.04,32.67,23.88,1.61,9.21,144.43,13.28,0.65,1.77,0,635.95,0,3.47,6.23,0,0,5.74,0,0,0,34,0,0,0,2.87,1.37
 96-106,0,0,7.11,2.76,1.68,0,312.98,0,0,0.6,237.13,2.13,0,0,23.72,20.76,5.39,0,74.71,8.36,1.51,0,0.78,514.95,0,3.29,12.58,0,0,3.89,0,0,0,27.67,2.78,0,0,2.5,7.59
108-118,0,0,8.47,7.17,1.35,0,271.53,0,0,0,213.79,5.39,0.88,0,36.54,18.16,1.45,3.57,209.37,16.75,0,6.58,0.6,702.38,0.69,0,11.95,0,0,6.25,0,0.42,0,18.92,0,1.81,1.73,1.05,5.37
120,0,0,7.54,12.91,8.42,3.69,481.24,0,1.21,0,377.55,13.66,0,6.99,16.8,9.45,4.94,0,95.37,29.16,0,0,0,1733.82,0,0,12.38,0,4.22,2.52,0,0,0,7.79,1.37,2.2,2.66,4.11,17.16
