stage,blastomeres,epidermis,eye,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.63,0,0,1.94,0,0
 36-46,0,0,0,0,0,0,0,1.08,0,2.43,0,0,1.31,0,0
 48-58,0,0,1,0,0,0,0,0,0,0.99,0,0,0,0,0
 60-70,0,0,0,0,7.46,0,0,0,0,0,0,0,0.72,0,0
 72-82,0,0,7.12,0,0,0,0,1.85,0,0,5.8,0,4.45,0.52,0
 84-94,0,0,0,1.13,5.82,0,0,0,0.61,1.77,4.99,0,0,0,0
 96-106,0,1.96,1.77,0,1.3,0.82,0.59,0.92,0,0,7.49,0,0,0,0
108-118,0,0,2.35,0.7,1.79,0,0,0.6,0,1.45,1.41,0,0,0,0.61
120,0,0,0,0,8.79,0,0,0,0,21.11,8.76,0,0,0,0
