stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.11,0,0,0,0,0,0,0,0,18.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72,0,0,0,0,0,0,0
 14-21,0,3.78,0,0,0,0,1.15,0,0,1.35,0,0,0,2.78,0,0,0,0,2.09,1.09,0,0,1.23,0
 24-34,0,1.48,0,1.05,2.47,0,1.26,0,0,17.22,0,8.02,32.38,0,0,0,0,0,0.59,3.33,0,0,6.7,0
 36-46,0,6.26,0,12.44,0.68,1.64,7.24,0,0,13.98,0,6.3,45.5,0.57,0,0,0,0,0,7.16,0,0,0,0
 48-58,0,0.62,0,38.03,1.41,0.86,49.07,0,0,16.62,0.41,2.87,113.63,0,0.38,0.69,0,0,0,27.38,0,0,1.16,0
 60-70,0,0.99,0,117.28,2.21,1.6,48.54,0,0,34.61,0,4.9,210.01,0,0,0.72,0,0,0,6.1,0,0,0,0
 72-82,0,1.33,0,63.59,0,0,22.16,0,0,14.13,0,0.54,175.37,0,0,0,0,0,0,15.31,0,0,11.11,0
 84-94,0,2.32,0,98.18,0.56,0,40.03,0.7,0,17.48,0.95,5.72,148.73,0,0.93,2.64,0,0.64,0,12.99,0,0,11.75,2.24
 96-106,0,2.19,3.61,69.98,0,0.63,15.47,0,2.91,22.16,0,5.3,167.95,0,0,1.07,0,0,0,2.84,0,0,3.92,0
108-118,0,9.31,0,44.85,0.42,0,37,0.69,2.82,23.58,0,4.02,131.89,0,3.29,1.14,0,0,0,0.75,0.83,0,8.84,0
120,0,0,0,36.04,0,0,50.52,0,5.09,33.13,0,2.24,96.83,0,0,1.51,0,0,0,12.25,0,9.27,1.78,15.7
