stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,21.95,96.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0,0,0,0
  5-6,0,227.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.05,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,60.68,0,0,0,25.95,15.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,97.94,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,170.14,0,0,0,17.41,36.04,6.79,0,15.22,0,0,0,0,0,0,0
 14-21,0,0,4.65,119.86,109.91,337.72,0,1.91,0,0,0,1.27,84.01,0,0.81,0,252.79,0,0,66.57,0,9.67,17.36,0,4.07,36.25,0,0.89,0,0.87,215.9,1.12,2.33,124.74,0,3.7,9.96,0,0,3.03,0
 24-34,0,0,9.39,80.08,23.07,299.63,0,6.09,0,8.95,0,2.92,23.98,0,3.4,0,722.75,0,0,48.6,3.28,9.53,77.83,0,6.37,190.91,4.44,13.24,0,0,455.93,0,0,172.86,0,1.48,26.52,0,0,3.19,0
 36-46,0,0,1.03,5.31,26.15,21.59,0,6.71,0,15.9,0,10.8,11.16,0,0.69,0,451.13,0,0.74,19.59,0,8.91,55.69,0,0,199.63,0,11.82,0.57,0,368.08,0,0,145.49,0,0,20.54,0,0,3.51,0
 48-58,0,0,0.4,0.5,17.92,21.38,0,23.21,0.8,2.29,0.39,17.98,8.21,0,0,0,169.24,0,0.44,34.37,0,4.88,24.15,0,0.39,142.86,0,6.7,0.38,0,191.08,0,0,97.53,5.37,0,22.93,0,0,1.25,8.09
 60-70,0,0,2.75,0,17.34,6.67,0,38.34,0,11.04,0,16.17,14.38,0,0,0,123.53,0,1.69,38.92,0,6.06,14.72,0,1.54,121,0,0.74,2.13,0,162.55,0,0,73.43,0,0,20.19,3.67,0.65,2.89,0
 72-82,0,0,14.06,0,10.5,64.86,9.7,41.82,0,6.71,0,12.71,58.89,0,0,4.06,201.83,0,2.93,11.86,0,31.13,10.04,0,0.66,208.24,0,1.4,4.42,0,45,0,0,89.46,0,0,10.77,5.38,2.79,0,0
 84-94,0,0,25.59,0,35.02,66.23,18.79,38.54,2.56,8.08,0,19.91,88.63,0,0,0.87,289.42,0,2.51,27.24,0,7.32,20.12,0,2.54,153.28,0,0.72,1.3,0,133.19,1.4,0,252.78,0,0,23.63,13.24,0,0,0.76
 96-106,0,0,28.61,3.82,50.37,123.42,9.05,45.3,0,1.3,0,11.58,156.79,0,0,0.73,349.46,0,7.13,5.07,0,14.9,24.74,0,3.82,181.45,0,7.56,0.64,0,68.58,0.76,0,249.7,0,0,0,12.47,0,1.3,0
108-118,0,0,23.14,4.45,53.14,43.16,25.7,29.31,0,0.55,0,14.01,189.1,0,0,0.94,346.94,3.98,3.86,34.21,0,25.45,17.79,3.91,0,163.14,0.6,4.91,6.33,0,41.71,0,0,235.79,0,0,2.95,11.08,1.88,8.82,4.35
120,0,0,24.06,0,45.88,44.64,4.97,49.19,0,1.25,0,22.49,187.81,0,4.47,0,235.73,0,33.29,31.16,0,19.35,6.25,0,0,193.92,4.62,3.27,0,0,25.8,2.5,0,202.01,0,0,38.66,16.01,0,0,0
