stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.81,3.43,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0
 24-34,0,0,0,0,0,0,0,0.59,0,0,0,7.44,0,0,35.75,0,0
 36-46,0,0,0,0,0,1.2,0,0,0,0,0,92.28,0,0,6.7,0,0
 48-58,0,0,2.2,0,0,0,0,0,0,0.52,0,218.02,0,0,19.17,0,0
 60-70,0,0,0,0,5.29,0,0,0,0,0.79,0,280.65,0,0,22.58,0,0
 72-82,0,0,12.21,0.81,3.54,0,3.31,0.53,0,2.84,0,624.04,0,0,74.01,0.72,0
 84-94,0.57,0,41.34,0.67,2.3,0,0,0,0.55,0,0,478.78,0,0,65.42,0,2.23
 96-106,0,0,20.97,0,4.32,0,0,0,0,4.82,0,546.14,0,2.17,116.62,0,0
108-118,12.59,0,3.37,0,0,0,0,0,0,2.7,2.02,689.46,0.49,0,58.53,0,1
120,0,13,0,0,14.99,0,0,0,0,0,0,1250.5,0,0,98.37,17.69,0
