stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,83.35,2807.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.26,0,0,0,0,0,0,0,0,0,0
  5-6,25.44,942.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,12.41,0,2827.46,0,0,0,0,0,0,0,0,0,0
  7-9,10.71,13.68,0,21.67,0,0,50.25,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,210.93,0,0,0,52.7,0,628.64,24.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.08,0,5.97,14,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,149.82,7.71,0,0,58.04,0,83.72,3.03,0,19.68,6.84,0,0,0,0,0,0
 14-21,0,0,0,3.45,42.08,1.97,1.75,0,0,0,0.89,2.28,1.74,0,0,8.23,0,0,0,8.54,3.98,0,3.07,33.13,0,0.95,1.74,0.92,0,835.88,0.91,16.57,4.91,20.84,12.14,0,0,2.48,0,0
 24-34,0,0,1.27,0,26.12,0,3.55,0,2.72,0,1.99,0,0,0,0,4.97,0,0,0,21.39,4.54,0,5.8,85.34,0,0.76,0.89,0,0,669.63,0,0,1.46,4.23,21.56,0,0,21.56,0,2.6
 36-46,0,0,0,0,17.46,1.78,2.58,1.87,3.71,0.63,1.75,0,0,0,0,1.07,0,0,8.02,10.62,18.95,0,3.56,66.8,1.24,2.02,2.03,0,0,778.05,0,0,0.65,0,23.77,0,0,2.25,0,3.27
 48-58,0,0,0,0,12.84,0,9.11,1.43,8.2,1.38,1.26,2.39,0,0,0,8.01,0,0,0,14.68,11.33,0.84,0.98,55.97,0,0,0,0,0,404.41,0,0,0.61,0,12.84,0,0,0.38,0,5.54
 60-70,0,0,1.1,0,39.3,0,15.84,0,6.19,4.04,7.66,0,0,0,0.99,1.17,0,2.21,0,14.14,10.42,1.74,6.22,32.14,0,3.48,0.59,0,0.66,384,0,0,0,0,13.05,1.44,0.69,0.96,0,0
 72-82,0,0,5.06,0,23.06,0,22.04,0,9.98,1.13,12.35,4.52,0,0.6,0,4.55,0,0,0,22.7,4.42,3.7,7.71,39.21,0.52,1.16,1.37,0,0,398.4,0,0,0,0,12.36,2.32,1.99,10.19,2.52,5.02
 84-94,0,0,2.33,0,60.67,7.37,6.13,0,15.14,0,11.31,3.27,0,0,3.07,11.4,0,0,0,19.98,7.46,1.8,5.96,36.19,0,1.1,0,0,0,1029.14,0,0,0.71,0,9.92,0.97,7.64,11.91,3.8,0
 96-106,0,0,1.15,0,109.88,0,47.42,0.99,23.8,3.47,17.99,12.44,0,0.76,2.74,22.15,0,1.32,0,23.59,12.45,0.75,2.47,65.88,0,5.2,0,0,2.77,1154.64,0,0,1.33,0,7.99,6.04,6.41,0.94,11.18,0
108-118,0,0,0.47,0,131.22,2.56,19.18,0,44.84,2.17,5.78,14.73,0,0,1.55,32.75,0.74,1.83,1.88,24.09,29.71,0.45,6.43,70.96,0,3.96,0.66,0,6,1117.4,0,0,0,0,6.61,7.94,0,1.19,3.46,0
120,0,0,0,0,127.75,0,44.1,0,48.64,0,23.45,3.95,0,0,0,10.95,0,4.92,19.08,45.16,15.59,7.34,2.43,37.96,0,0,0,0,0,722.16,0,0,0,0,11.41,1.37,2.41,10.65,13.01,0
