stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.5,130.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0
  5-6,19.35,227.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19,27.67,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,123.74,29.16,0,273.34,0,0,0,23.55,0,0,0,0,0,64.59,0,0,0,0,0,0,0,0,0,0,1497.78,503.46,0,0,732.48,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.38,0,454.37,0,0,0,58.99,0,0,0,0,0,26.7,0,0,0,0,0,0,0,0,0,0,4318.85,644.8,0,0,785.36,0,0,0,11.32,0,17.83,0,0,0,0,0,0
 14-21,0,0,0,0.98,112.34,15.24,0,24.1,0,3.79,0,2.58,1.16,1.65,40.21,0,0,0,0,0,47.47,0,0,29.42,664.85,712.22,2.2,4.15,37.15,0,1.04,1.85,0,0,10.68,268.99,0,0,35.3,0,0
 24-34,0,0,0,2.46,76.75,3.33,0,11.65,0.84,30.17,1.44,24.95,2.06,0,41.9,0,0,0,4,1.44,101.9,3.08,2.43,28.71,731.95,146.95,0,22.93,0,0,33.88,0,7.98,1.03,0.61,252.04,0,0,182.31,0,0.91
 36-46,0,0,0,0,42.08,0,0,45.22,2.78,41,2.78,33.26,0.59,0,14.17,0.61,0,0,2.66,0,201.32,0,0,20.05,447.12,103.98,1.55,25.08,32.82,15.85,26.99,0,4.13,0.68,0,251.86,0,0.85,102.75,0,0
 48-58,0.58,0,0,0,48.01,0.45,0,62.85,3.92,37.06,12.6,99.61,0,0.61,8.82,0,0,0,1.65,0,271.16,3.78,10.91,28.56,345.81,112.93,0,40.21,0,0,23.88,0,17.55,2.59,0,195.86,0,0.98,132.38,0,0
 60-70,1.45,0,0,0,46.02,2.88,0,141.49,6.15,49.28,16.82,113.92,9.32,0,6.24,0,0,0,5.33,0,405.97,0.73,2.42,20.94,511.45,100.51,0,31.81,0,3.1,23.77,0,3.17,4.27,0,99.02,2.13,4.08,71.26,9.93,0
 72-82,0,0,0,0,63.01,0,0,182.18,6.13,35.64,25.63,171.41,5.71,0.59,5.01,0,0,0,3.1,0,640.71,0,25.44,34.07,517.42,33.16,0.95,85.55,0,0.84,39.53,0,3.6,2.03,0,32.19,1.87,12.7,59.66,11.2,0
 84-94,0,0,0,0,88.39,2.89,0,222.27,6.57,57.13,14.31,96.88,4.47,0.76,13.92,0,3.7,1.41,6.32,0,471.77,0,23.79,34.9,247.04,56.36,0,47.39,0,6.05,138.31,0,5.08,4.73,0,17.28,0,13.28,45.03,9.97,0
 96-106,0,0,4.44,0,129.39,11.25,0,179.93,4.4,62.17,14.16,149.89,0,1.06,8.49,0.7,1.98,0.92,13.24,0,364.84,2.33,19.64,22.17,392.3,19.5,2.49,79.47,0,4.98,192.99,0,1.58,1.98,0,6.1,3.46,10.06,75.49,11.74,0
108-118,0,0,0,0,169.73,9.11,0.5,147.8,1.57,93.83,27.94,126.1,8.74,0,3.6,2.54,2.36,0,5.13,1.46,466.82,4.29,14.67,41.83,279.05,35.76,0,117.15,0,4.73,146.93,0,8.92,2.89,0,8.53,1.65,6.16,61.49,17.2,0
120,3.35,0,0,0,219.04,1.08,0,198.87,2.6,80.97,25.37,229.86,5.07,0,10.03,0,0,0,11.69,0,679.56,7.62,34.98,25.9,531.01,65.91,0,115.55,0,0,116.29,0,20.69,1.63,0,13.51,2.55,11.26,71.21,73,0
