stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.98,0,0,14.94,0,0,0,0,0,0
 10-12,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,49.43,0,0,27.15,0,10.84,0,0,0,0
 14-21,0,4.64,1.07,0,0.82,0,0,0,0,0,0,0,0,0,0.94,4.75,0,0,0,0,0,0.85,2.06,0,0
 24-34,0,5.41,0,0,2.26,2.38,0,0,0,4.15,0.93,0,5.6,0,0.9,11.22,3.38,0,0,0.68,0.72,0.67,1.14,0,0.69
 36-46,0,2.56,0,0,0,0,0.82,0,0,0,0,0,0,0,0,6.49,0.56,1.72,0,3.55,0,0,0,0,0
 48-58,0,7.92,0,0,0.56,3.76,0,1.19,0,0,0,0,0.89,0.56,0,5.51,1.92,1.4,0,0.97,0,0,0,0,0
 60-70,0,2.33,0,0,1.55,0,0,0,0,0,0,0,0,0,0.72,6.78,0,0,0,0,0,0,4.1,0,0
 72-82,0,1.52,0,0,0.75,2.27,0.67,0,0,0.53,0,0,0,0,0,5.27,0,0,0,1.65,0,0,0,0,0
 84-94,0,2.56,0,0,4.2,0,0.72,0,0,0,0.61,0,0,0,0,0,1.84,0.61,0,1.44,0,0,0,0,0
 96-106,0,6.22,1.64,0,1.09,0,1.64,0,0.56,2.84,0.78,0.7,0.96,2.54,0,8.02,2.21,0.85,0,3.81,0,0,0,1.68,5.33
108-118,0,5.34,0,0,0,0,2.35,0,4,4.01,1.26,0,1.92,0,0,3.54,0,0.62,0,6.29,0,0,0,0,0
120,0,17.12,0,1.62,0,4.64,4,0,2.57,0,8.92,0,0,0,0,11.69,0,3.65,0,6.24,0,0,0,0,0
