stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,39.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,27.92,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,221.12,0,2.57,0,0,0,31.91,1.23,0,0,0,0,0,0,16,1.05,7.37,0,0,0,0,0
 24-34,0,0,1.28,0.85,0,28.87,0,0,1.91,4.44,0,0,0,0,3.01,7.97,88.38,0,15.15,0,0,6.63,225.52,0.63,30.57,2.27,0,0,0,0.63,5.57,1.31,60.49,0,0,6.95,0,0
 36-46,0,0,0,0,0,51.02,0.87,0,0,3.32,0,0,0,0,2.34,0,27.56,0,4.72,0,0,0,221.14,1.34,10.43,0,0,0,0.87,0,13.78,0,18.35,0,0,6.06,0,0
 48-58,0,0,0,0,0,25.29,0,0,0,4.24,0,0,0,1.9,0,0,15.35,0,9.7,0,0,0,208.55,0,14.13,0,0,0,0,0,0,0,16.64,0,0,0,0,0
 60-70,0,0,5.26,0,0,29.73,0,0,0,3.13,0,10.5,0,178.69,0,0,47.98,0,18.46,0,0,0,279.68,0,7.54,3.34,0,0,0,0,0,0,29.79,0,0,0,0,9.17
 72-82,0,0,0.68,7.63,0,36.77,0,0,0.77,23.55,0,0,0,372.34,0,0,251.07,0,10.65,1.38,0,0,748.94,0,14.57,8.51,0,0,4.34,2.62,0,0,23.95,1.16,0,3.19,2.16,0
 84-94,0,0,2.86,1.4,1.52,95.76,0,0,0,22.08,3.8,0,0,1003.89,0,0,1010.44,0,2.44,0,0,0.7,511.97,0,10.98,4.2,0,0,8.12,2.13,0,0,19.12,0,0,8.49,6.07,0.59
 96-106,0,0,17.43,10.64,0,86.8,0,0,0,22.79,11.85,0,2.59,1345.05,2.54,0,752.22,3.66,21.69,0,1.32,0,611.86,0,13.82,0,0,4.72,8.9,0.62,0,0,10.82,2.19,12.19,6.34,1.6,0
108-118,0,0,17.54,2.8,0.98,61.09,0.98,0,1.03,11.47,14.64,0,0,876.35,0.62,1.34,2297.72,0,25.69,0,3.93,6.19,920.26,0,7.47,2.03,0,2.42,7.32,2.63,0,0,0,2.39,0,1.29,0,0.6
120,0,0,1.06,0,0,123.42,0,13.13,0,22.46,11.22,0,0,963.33,0,0,690.67,0,15.79,0,1.83,0,676.47,0,14.13,55.71,0,0,4.15,0,0,0,0,0,0,0,0,0
