stage,endoderm,epidermis,eye,glial,gut,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.11,1.03,2.14,0,0.94,1.84,0
 24-34,0.81,0.74,0,0,0,0,1.08,0,5.52,0,0,0,0,3.88,0.66
 36-46,0,0,2.64,0,0,0,0,0,6.7,0,0,0,0,0,0
 48-58,0,0,0.54,0,0,0,0,0,2.64,0,0,0,0,0,0
 60-70,0,0,1.48,1.08,0,0,0,3.04,0.97,1.47,0,0,0,1.57,0
 72-82,0,0,0.76,0,0,0,0.83,1.65,3.2,0,0,0,0,0,0
 84-94,0,0,0.65,0,1.44,0.55,0,0,0,0,0,0,0,0,0
 96-106,0,0.98,0,2.82,0,0,0,0.83,2.02,0,0,0,0,7.87,0
108-118,0,0,1.56,1.45,0,0,0,1.49,6.62,0,0,2.04,0,0,0
120,0,0,0,0,0,0,0,2.31,13.9,0,0,0,0,0,0
