stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,2.4,2.4,2.21,0,2.28,0,1.75,0,0,0,0,0,0,0,2.63,0,0,29.85,2.75,1,0,0.8,0,2.31,0,0,5.01,3.59,0,0,0
 24-34,0,4.83,0,0,9.2,0,0,0,0.85,0,0,0.72,0,0,10.73,0,4.42,134.41,1.17,0,3.29,0,1.56,0,2.28,0.91,2.31,32.28,0,1.24,0
 36-46,0,0.64,0,0,21.51,0,1.58,0,0,0,0,0,0.67,0,15.46,0,3.26,86,0,0,0,0,0.62,1,0,0,0,13.01,0,3.52,0
 48-58,0,0.76,0,0,25.36,0,0.41,0,0,0,0,0,0,1.95,6.03,0.48,0.96,44.48,0,1.13,0.45,0,0.59,0,0.43,0,0,7.93,0,7.25,0
 60-70,0,1.29,0,0,10.01,0,37.32,0,0,4.06,0.58,0,0,0,17.12,0,0,26.09,0,0.96,0,0,0,0,0,0,0,0,1.37,0,0
 72-82,0,0,0,0,10.31,0,2.87,0,0,0,0,0,0,0,10.14,0,0.59,9.46,0,2.56,0,0,0,0,0,0,0,2.73,0.61,0,0
 84-94,0,0.66,0,0,2.66,0,1.28,0,0,0,1.42,0.81,0,0,4,0,0,3.29,1.28,0,0,0,0.65,0,0,0,0,0,0.77,1.4,0
 96-106,0,2.17,0,0,0,0.64,2.08,0,0,0,0,0,0,0,0.79,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,0,1
108-118,0,3.44,0,0.53,0,0,0,0.97,0,1.07,0,0,0,0,6.21,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,1.23,0
120,0,0,0,0,0,0,3.38,1,0,0,0,0,0,0,0,0,0,17.68,0,0,0,0,0,0,0,0,0,0,0,1.59,0
