stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,9.79,99.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.89,0,0,0,0,0,0,0
  5-6,9.5,44.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.7,0,0,0,0,0,0,0
  7-9,0,0,0,9.32,0,0,7.8,0,0,0,0,0,0,0,0,0,0,78.07,0,0,0,18.09,0,79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,82.78,13.64,0,0,5.54,0,19.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4.19,0,0,0,0,0,0.93,2.2,0,0,4.13,8.62,0,0,0,0,0,0.86,0.95,0,1.83,0.81,5.63,0,0
 24-34,0,0,4.01,0,0,0,5.48,0,0,0,0.91,0,0,0.79,0,0,0,31.48,0,0,0,0,0,3.18,0.76,0,3.33,0,4.19,0,0
 36-46,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0,65.19,0,0,0,0,0,2.55,0,1.34,0,0,0,0,0
 48-58,0,0,0,0,0,0,20.42,0,0,1.57,8.53,0,0,1.27,0.41,0,0,44.49,0,0,0,0,0,5.19,0,0,2.25,0,5.9,0,0
 60-70,0,0,0,0,2.51,0,42.83,0,0,0,0,0,0,1.33,0,0,0,47.37,0,3.57,0,0,0,0,0,0,1.25,0,14.18,0.64,0
 72-82,0,0,0,0,1.13,0,43.72,0,0,0,7.61,0,0,1.75,0,0.75,1.06,43.53,0,0,0,0,1.77,0,0,0,0,0,3.46,0,0
 84-94,0,0,0,0,0.74,0,24.11,0.79,0,0,1.4,0,0.68,0,0,0.85,0,28.33,0,0,0,0,0,0,0,0,6.03,0,0,0,0
 96-106,0,0,0,0,0,2.89,45.41,0,0,0,16.29,0,3.88,7.11,0,0.88,0.76,33.75,0,0,0,0,0,0,0,0,1.26,0,0,0,0
108-118,0,0,0,0,0,0,42.84,1.67,1.3,0,5.95,0,8.85,6.41,0,0,1.18,47.91,0,0,4.19,0,0,4.76,0,0,0.87,0,5.52,0,2.29
120,0,0,0,0,1.49,0,97.88,0,0,1.44,8.9,1.38,6.1,0,0,0,3.79,94.26,0,0,0,0,0,1.12,0,0,0,0,0,0,0
