stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.56,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,16.25,647.53,0,1.44,0,0,0,0,0,0,0,7.09,0.81,0,0,1.41,0,8.13,0,0,0,373.33,0,0,0.88,0,0,0,2.71,0,265.97,0,0,0,0,0
 24-34,0,0,7.71,208.43,0,1.94,0,0,0,0,0,0,0,3.08,0,0,0,1.48,0,0.73,0,0,0.95,1082.33,0,25.45,0,0,0,1.68,0,0.6,381.76,0,0,1.07,0,0
 36-46,0,0,0,0.84,0,6.26,0,0,0,0,0,14.2,2.31,0,0,0,0,0,0,3.8,0,0,0,1345.27,0,24.3,0,0,0,1.62,0,0,80.81,0,0,0,0,1.43
 48-58,0,0,0,0,0,41.91,0,0,0,3.31,0,54.93,3.28,0,0,0,0,0,0,3.14,0,1.01,0,1322.41,0,7.12,0,0,0,3.31,0,0,148.32,0,0,0,0,3.76
 60-70,0,0,0,0.59,0,225.85,0,0.67,0,0,0,17.65,15.17,0,0,0,0.77,0,0,7.25,0,0,0,1785.55,0,14.07,1.04,0,0,0,0,0,204.31,0,0,0,0,15.47
 72-82,0,0.76,13.36,1.38,0,1551.88,0.9,6.79,0,80.32,1.61,5.36,2.3,5.56,0.75,0,0.76,1.23,0,178.47,0,0,1.68,3043.88,0,32.92,9.92,0,0,4.28,0,0,382.43,0,0,5.76,1.13,10.23
 84-94,1.75,1.09,28.91,1.33,0,1277.32,0,0,0,39.83,0,14.88,0,4.34,0,8.11,0,0,0.56,19.26,0,9.28,0,3036.64,0,51.53,1.86,0,0,0,0,0,280.25,0,0,4.05,0,0
 96-106,7.73,4.44,8.24,18.43,1.12,2002.09,0,3.06,31.45,42.6,11.84,0,9.71,7.4,0,10.02,1.26,0,11.31,62.15,0,0,0,4737.21,0,122.57,22.32,0,0,9.79,0,2.59,124.63,3.44,17.35,2.33,1.28,0
108-118,12.58,23.07,39.79,2.27,0,1935.01,0,0,0,138.99,1.4,0,0.58,16.77,1.07,1.41,3.37,1.8,20,112.18,0.71,0,1.62,3798.64,0.41,103.07,1.68,0,25.05,1.5,0,0,121.21,0,0,4.98,0.92,3.75
120,0,2.55,0,3.62,0,959.61,0,1.16,0,215.79,0,0,0,2.3,1.48,0,0,0,0,160.41,0,0,0,4420.89,0,102.68,143.94,0,9.36,3.05,0,0,59.14,0,3.8,0,0,0
