stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,94.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0
  7-9,9.19,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,82.06,0,0,0,17.13,0,0,0,0,0,0,0,0,0,0
 10-12,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.46,3.71,0,0,34.93,0,0,6.88,0,0,0,0,0,0,0
 14-21,0,0,0,3.6,2.71,0,0,52.42,0,0,0,0,0.81,0,0,0.99,66.47,0,16.5,6.72,2.58,0,0.84,39.07,0.81,172.17,0,0,0,0,0
 24-34,0,0,0,0,0,0.74,0,38.99,0,0,0,0,8.72,0,0,0,38.78,1.44,34.27,3.17,0,0,0,30.91,0,91.85,0,0,7.36,0,0
 36-46,0,0,0,0,0,5.05,2.07,21.63,0,0,0,0,1.38,0,0,0,43.14,0,78.19,0,0,0,0,34.33,0,62.28,0,0,0,0,0
 48-58,0,0,0,0,0,24.01,0,29.25,0,0,0.63,0.72,0.4,0,0,0,33.72,0,31.15,0,0,0,0,16.83,0,83.94,0,0,0,0,1.71
 60-70,0,0,0,0,0.63,18.74,0,35.67,8,0,0,2.14,1.05,1.53,0,5.16,40.17,0,36.86,0,0,0,0,4.84,0,46.89,0,0,0,0,0
 72-82,0,0,0,0,0,25.43,0,49.72,0,0,0,2.25,2.33,0,0,1.57,17.62,0,73.79,1.24,0,0,0,3,0,20.88,0,0,0,0,0
 84-94,0,1.92,0,0.88,1.42,14.37,0,32.92,0,0.8,0,0.59,2.2,0,0,0,33.52,0,91.54,3.71,0,0.57,0,8.93,0,16.28,0,0,0,0,4.41
 96-106,0,1.41,1.23,0,0,9.36,0,24.51,0,1.61,0,3.85,0.77,0,2.03,0.61,6.82,0,95.45,3.78,0,0,0,11.1,0,35.74,0,1.22,0,0,0
108-118,0,0,1.13,0,0.59,14.95,0,35.66,0.54,0,0,3.52,7.07,0,0,0,11.22,0,67.33,1.56,0,0,0,8.45,0,27.04,1.33,0,0,0,0
120,0,0,0,0,0,6.54,0,12.01,6.94,0,0,4.81,0,0,0,0,18.68,0,32.16,7.46,0,0,0,8.73,0,33.75,0,1.52,0,3.77,0
