stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.67,187.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0
  5-6,6.87,367.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,8.5,3.2,0,0,0,21.6,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,171.89,3.62,0,0,46.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.62,0,0,0,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.81,0,0,0,28.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,6.35,5.33,0,3.38,0,0,2.15,0.82,0,0,0,0,0,0,0,0,7.69,0,0,5.47,68.62,1,0,0,0,0,0,0.9,8.94,0.85,2.17,10.1,28,0,0
 24-34,0,0,0,2.73,0.75,0,14.09,0,0.76,0,0,0,0,0,0,2.07,0.75,0,0,4.72,0,0,3.62,101.27,0.83,0,0,0,0,6.9,0,0,0,0,0.64,19.88,2.37,0
 36-46,0,0,0,0.62,0,0,14.72,0,0,7.23,0,0,0.87,0,0,0,0,0,0,14.98,0.59,0,2.19,70.07,0,0,0,0,0,2.4,0,0,0,0,0,21.83,1.53,4.21
 48-58,0,0,0,2.47,0,0,28.07,0,0,2.66,0,0,0,0,0,0,0,0,0,8.18,0,0,0.43,65,2.42,0.85,1.67,0,0,0.44,0,0,0,0,0,13.72,2.22,0
 60-70,0,0,0,0,0,0,30.11,0,0,23.55,0,0,0,0,0,0.82,0,0,0,14.15,0,0,0.67,84.21,0,0,0,0,0,2.88,0,0,0,0,0,24.7,0.85,0
 72-82,0,0,0,1.2,6.32,0,24.12,0,0.71,1.16,0.63,0,0,0,0,0,0,0.96,0,11.57,0,0,0,45.35,0,0,6.69,0,0,0,0,0,0,0,0,5.69,1.04,0
 84-94,0,0,0,1.57,1.88,0,25.03,0.57,0,10.23,0,0,0,1.01,0.76,0,0.57,0,0,19.86,0.78,0,0.64,21.31,0,0.83,0,0,0.6,2.3,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,15.41,0.69,0,8.39,1.27,1.32,0,1.24,1.44,0,0,0,1.64,15.32,0,0,2.48,50.07,0,2.7,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0.65,1.5,0,8.86,0,0,2.28,0,0,0,0,0,0,0,0,1.75,10.33,0,2.19,2.89,20.86,0,0.95,1.22,0,1.6,2.76,0,0,0,0,0,0,0,0.49
120,0,0,0,1.09,0,1.91,40.77,1.04,0,12.03,0,0,0,0,0,0,0,0,0,10.03,1.49,0,5.71,19.25,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0
