stage,exocrine.pancreas,eye,fast.muscle,glial,melanocytes,mesenchyme,muscle,neural,olfactory,somites,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,4.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,20.34,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.91,0,1.91,0.87,0
 24-34,0,0,0,0,0,0,0.99,6.2,0,0,1.89,0
 36-46,0,0,3.98,2.53,0,0,0,1.72,0,0,1.33,0
 48-58,0,0,0,0,0,0,0,1.3,0,0,0,0
 60-70,0,4.45,0,10.64,0,0,0,0,1.1,0,0,0
 72-82,0,0,0,0,0,2.09,0,3.93,0,0,0,0
 84-94,0,0,0,5.06,2.16,0,0,0,0,0,0,1.86
 96-106,0,0,0,2.05,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2.24,0,0,0,0
120,2.35,0,0,0,0,3.74,2.81,0,0,0,0,0
