stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0,0,0,21.43,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,0,0,0,21.32,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,1.14,1.99,0,0,0,0,0,0,0,0,0,1.77,0
 24-34,0,0,0,0,0,1.5,0,0,0,0,0,0.68,0,0,0,16.58,0,10.65,90.61,2.07,1.76,0,0,0,1.7,0.84,5.18,0,0,0
 36-46,0,0,0,0,0,2.65,0,0,1.07,0,0,0,0,0,0,27.61,0,12.26,169.93,0.58,0,0,0,0,0,0,14.22,0,0.69,0
 48-58,0,0,0,0,0,13.62,2.02,0.85,9.73,1.65,0,0,0,0,0,7.81,0,4.98,299.72,0,0,0,0,0,0.96,0,22.93,0,0,0
 60-70,0,1.46,4.84,0,0,11.23,0.75,0,11.07,0,0,2.41,0,0,0,5.23,0,0.64,421.84,6.77,3.02,1.24,0,0,1.24,0,39.44,0,3.97,0
 72-82,0,0,0.78,1.84,0,76.32,0,4.87,20.81,2.94,0,1.02,0,0,0,11.49,0.87,0.54,556.2,0,0.93,2.87,0,0,0,0,62.31,0.87,0.99,6.93
 84-94,0,0,2.36,0,0,65.96,0,0,21.89,0,1.21,0,0.67,0.69,0,15.28,1.27,2.27,300.84,0,0,10.42,0,0,0,0,22.38,0,0,0
 96-106,0,1.19,1.59,0,0,43.13,1.62,0,9.08,0.78,0.64,0,0.75,0,2.65,10.17,1.06,1.41,293.64,0,0,6.7,0,0,0,0,11.9,1.93,0,0
108-118,0,0.84,4.62,0,0,65.75,0,0.84,8.58,0,0,0,0,0,2.89,6.08,10.02,0,341.12,0,0,8.02,0,2.29,0,0,2.35,0,0,0.5
120,0,3.99,0,0,1.61,45.29,0,1.58,62.2,0,0,0,0,0,0,27.97,0,2.35,765.7,0,0,1.5,0,0,0,0,15.77,0,0,13.95
