stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,689.36,15556.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.54,0,0,0,0,0,0,0,0
  5-6,3956.04,43782.85,0,77.92,0,0,0,0,0,0,0,0,152.98,0,0,0,0,0,0,0,0,776.58,76.98,0,0,212.65,0,888.99,0,0,0,0,0,0,0,0
  7-9,241.89,210.61,0,598.94,0,0,400.04,0,0,0,0,0,312.6,0,0,0,0,0,0,0,0,6901.63,271.2,0,0,2426.03,0,10.47,0,0,0,0,0,0,0,0
 10-12,0,25.35,0,60.63,0,0,77.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.51,25.89,0,0,254.38,0,0,0,0,25.32,0,0,0,0,0
 14-21,0,0,0,0,1.02,2.68,1.97,0,0,0,0.98,0,0,0,0,0.82,0,0,5.57,0,5.89,46.6,0.93,0,0.97,1,0,1.97,0,5.24,1.1,4.96,13.7,0,1.07,0
 24-34,0,0,0,0,2.02,0,10.29,0,0,0,0,0,0,0,0,0,0,0,7.06,0,7.6,76.37,0.64,0.77,0,0,0,1.75,0,0,0.71,3.29,21.82,0,0,0
 36-46,0,0,0,0,4.77,0,13.05,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.83,74.62,0,0,0,0,0,0,0.81,0,0,0,7.05,0,0.86,0
 48-58,0,0,0,0,0,0,19.26,0,0,0,3.91,0,0,0.47,0,0,0,0,8.68,0,0.82,52.71,0,0,0.38,0,0,0,0,0,0,0,21.77,0,0.84,0
 60-70,0,0,0,0,0,0,16.09,0,0,1.27,20.97,0,0,0,0,1.16,0,0,18.72,0,1.19,27.09,0,0,1.03,0,0,0,0,0,0,0,6.03,0,3.88,0
 72-82,0,0,0.53,0,2.5,0,26.34,0,0,0,9.81,0.66,0,0,0,0,0.79,0,10.67,0,0.73,40.84,0,0,1.42,0,0,0,0,0,0,0,8.55,0,4.72,0
 84-94,0,0,0,0,0,0,7.83,0.79,0,0.86,3.42,0,0,0,0,0,0,0,9.17,1.31,0.9,12.98,0,0,0,0,0,1.69,0,0,0.94,0,1.33,0,0,0
 96-106,0,0,0,0,2.38,0,11.93,0,0,0,7.31,1.19,0,0,2.22,0,3.99,7.71,38.33,0,0,23.23,0,2.79,0.59,0,0,10.22,0,0,0,0,2.98,0,3.18,0
108-118,0,0,0,0,5.98,0,5.41,0,2.47,0,11.55,0.96,0,0,3.68,0,0,0,6.69,0,0.48,32.37,0.59,0,2.36,8.11,1.28,0.44,0,0,0,0,5.38,0.57,4.83,0.59
120,0,0,0,0,0,0,10.37,0,1.5,0,1.07,0,0,15.23,0,0,0,0,0,0,0,30.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64
