stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,136.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,0,147.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.55,0,0,0,0,0,0,0
  7-9,9.34,13.4,0,0,0,8.61,0,0,0,0,3.2,0,0,0,0,0,0,0,0,258.2,0,0,0,90.79,0,0,0,0,0,0,0,0,0
 10-12,0,18.23,5.43,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,297.55,0,0,0,102.08,0,0,0,4.5,0,0,0,0,0
 14-21,0,0,0,1.73,0,0,0,0,1.18,0,0,0,0,0,0,0.91,0,0,0,18.59,1.75,1.03,0,0,0,0,1.77,0,5.54,0,1.06,0,0
 24-34,0,0,0,1.56,0,5.86,0,0,1.55,0,0,0,0,0,1.1,5.41,0,0,0.72,91.73,0.77,0.96,1.95,0,0,3.21,0,0,13.38,0,0,0,0
 36-46,0,0,0,9.8,0,21.9,0,2.76,5.04,0,0,0,0,0,0,3.41,0,0,3.93,133.3,0,0,0,0,0,2.91,0,0,15.88,0,0.83,0,0
 48-58,0,0,0,0,0.43,18.4,0,0,6.08,0,0,0.55,0,0,0,12.07,0,0.5,2.83,110.81,0,0,0.66,0,0,3.93,0,0,30.93,0,1.11,0,2.3
 60-70,0,0,0,0.6,0,36.83,0,3.79,5.03,0,0,0,0,0,0,13.61,0,0,0,63.75,0,0,0,0,0,0,0,0,0.9,0,0.93,0,0
 72-82,0,0,0,9.28,0.9,71.47,0,0,5.36,2.36,0,0,0,0,0.79,16.41,0,0,0.58,90.55,0,4.44,0.83,0,0,3.6,0,0,13.31,0,3.11,1.16,0
 84-94,0,0,0,2.1,3.43,16.38,0,0,0,0.66,0,0.6,0.7,0,0,4.16,0.89,0,0,33.74,0,0,1.1,0,0,1.66,0,1.17,3,3.4,0,0,1.5
 96-106,0,0,0,0,0,33.1,0,0,18.81,0,0,0,0,1.13,0,3.65,0,0,0,52.16,0,1.14,0,0,0,7.5,0,0.58,3.61,0,1.56,0,0
108-118,0,0,0,0.49,0,13.04,0,0.76,0.63,0.61,0,0.79,1.42,0,0,7.89,5.46,0,0,59.86,0,1.91,5.59,0,0,1.91,0,0,0.64,5.48,0.92,2.23,0
120,0,0,0,0,4.75,21.83,1.21,0,0,0,0,0,0,0,0,1.74,0,0,0,37.58,0,0,0,0,2.67,1.68,0,0,0,0,0,2.27,2.08
