stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.66,893.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.05,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,440.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,311.71,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.35,0,11.34,0,0,0,19.24,0,0,0,0,0,14.86,0,0,0,0,0,0,0,0,0,0,0,129.76,11.34,0,0,31.64,0,146.61,10.97,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,102.91,0,0,0,5.73,0,0,0,0,0,5.06,0,0,0,0,0,3.73,0,0,0,0,0,514.7,27.3,0,0,76.42,0,82.58,5.47,34.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.76,21.87,0.96,0,0,0,0,0,2.5,2.38,0,1.3,0,20.39,0,0,4.53,3.43,2.36,0,0,6.85,74.59,1.25,0,4.61,0,0,445.53,0,3.54,0.85,6.7,22.82,0,0,0,0,0
 24-34,0,0,2.61,0,11.27,0.6,0,38.28,0.96,2.12,0,4.67,1.3,0,0,0,27.98,0,0,0,1.37,16.62,7.37,0,1.75,210.73,0,44.25,6.01,0,0,711.5,0,5.26,0,5.42,52.32,0,0,5.2,0,9.09
 36-46,0,0,0,0,15.4,0,0,17.66,0,1.42,0,5.5,1.15,0,6.51,2.9,18.99,0,7.66,0.57,0,10.27,12.07,1.59,10.4,224.83,1.52,31.66,6.57,0,0,782.43,0,4.01,0,0,77.05,0,0,3.8,0,5.95
 48-58,0,0,0,0.4,13.84,0.39,0,49.4,4.95,4.98,3.06,10.81,0.66,2.65,1.67,4.27,10.51,0.92,1.27,0,7.29,16.65,9.64,2.92,6.52,191.75,8.72,20.78,2.47,0,0,648.8,0,2.47,5.52,0,60.33,0,0,4.76,0,33.23
 60-70,0,0,2.2,0,35.4,4.71,0,116.55,1.34,16.37,1.47,24.52,3.81,0,0,10.21,15.55,11.25,3.27,7.82,0,23.89,4.66,1.18,4.28,207.24,3.21,27.13,3.76,0,0,645.61,0,6.47,0,0,33.01,0.61,2.14,8.81,0,45.99
 72-82,0,0,2.06,0.75,48.26,5.76,0,329.43,0,7.39,2.84,18.59,19.65,0,0.9,2.5,20.09,0,5.28,0,0,44.04,11.76,0.7,6.46,288.73,2.57,31.26,13.04,0,1.78,570.22,0,3.23,2.68,0,49.35,15.35,0,8.81,0,19.77
 84-94,0,0,3.65,0,84.02,19.99,0,427.9,0,26.41,3.15,16.12,50.96,0,0,21.85,29.04,5,6.28,10.46,0,24.95,17.38,1.87,2.68,166.79,2.07,28.51,12.48,0,0,1321.32,0,6.92,0,0,62.52,46.11,0,13.1,0,25.45
 96-106,0,0,2.86,0,121.03,18.35,0,402.28,0,32.27,7.08,23.39,76.47,0,0,9.48,34.8,3.3,7.45,15.53,0,46.36,32.82,0.7,0,298.83,0.68,35.23,21.22,0,0,1241.41,0,4.37,0,0,9.92,37.55,0,2.63,0.59,30.28
108-118,0,0,3.55,0,114.9,5.52,1.67,473.15,1.25,43.32,1.81,31.38,113.46,0,0,11.28,57.42,2.72,5.61,27.2,1.8,33.44,36.84,0,5.39,303.11,0.47,26.46,22.6,0,1.19,1185.61,0,8.89,0.98,0,18.69,67.18,0,9.16,3.61,32.9
120,0,0,0,0,108.01,15.95,0,432.3,0,32.34,0,92.28,113.24,0,0,12.32,31.2,5.7,10.85,52.43,0,14.12,8.74,0,0,474.57,0,48,16.28,0,0,634.72,0,9.91,0,0,38.42,27.86,0,37.95,10.63,4.78
