stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,128.08,3949.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.68,0,0,0,0,0,0,0,0,0
  5-6,354.14,4420.23,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.21,10.72,0,0,79.03,54.64,0,0,0,0,0,0,0,0,0
  7-9,51.86,175.6,0,150.91,0,0,425.87,0,0,0,96.46,0,0,0,0,0,0,0,0,0,0,0,4205.41,121.67,0,0,1853.98,31.17,37.09,0,0,0,0,0,0,0,0
 10-12,0,103.88,0,221.42,0,61.12,263.58,0,0,0,30.33,0,0,0,0,0,0,0,0,0,0,0,2928.97,34.84,0,0,1427.68,9.97,18.97,18.57,163.02,0,0,0,0,0,0
 14-21,0,1.28,1.69,1.05,34.48,8.52,23.76,0,3.3,1.99,1.95,0,0,0,0,0,0,0,22.18,0,0,22.84,481.25,2.23,2.41,1.28,11.78,25.83,0.9,71.02,1.63,24.8,94.09,0,3.49,0,0
 24-34,0,0,0,2.41,12.5,2.55,61.67,0.63,10.66,1.08,2.27,0,0.83,0,0,0.7,1.31,0,45.38,0,0,27.33,988.61,7.36,6.91,4.12,0,35.37,0,3.08,1.96,2.99,198.5,0,2.14,0,0.62
 36-46,0,0,0,0,3.27,2.75,93.94,0,10.1,0.56,0,0,2.72,0,0,0.57,0,5.81,58.13,0,0.74,21,641.79,0,4.05,0,0,6.22,0,2.6,0,0,133.77,0,8.28,0,0
 48-58,0,0,0,0,13.3,0.68,173.89,0,12.57,0,0,1.14,0,0,0.4,0.52,0,1.56,62.13,0.37,8.35,8.18,292,0.55,1.04,0.95,0,5,0,0,0,0,49.34,0,7.62,0,2.3
 60-70,0,0,0,0,12.32,0,125.95,0,6.04,1.11,0,0,0,0,0,0,0,0,63.19,0,2.27,8.04,157.53,7.74,2.79,0,0,1.38,0,0,6.41,0,6.1,0,1.73,0,0
 72-82,0,0,0,0,8.88,0.58,62.34,0.5,22.35,2.62,0,0.55,3.25,0,0,0,0,1.89,39.79,0,3.09,5.98,94.54,0,11.32,3.26,0,1.13,0,0,0,0,2.56,0,4.99,0,4.43
 84-94,0,0,0,0,4.31,0.79,43.82,0,10.74,3.41,0,0,6.81,0,0.66,0,0,0,47.95,0,3.39,2.75,66.93,0,11.64,5.01,0,1.95,0,0,0,0,5.03,0,16.48,1.4,8.82
 96-106,0,0,0,0,6.56,2.9,30.2,0.99,13.87,3.05,0,1.54,4.84,0,0,0,0,0,32.57,0.71,0.59,0.67,100.43,0,7.54,2.64,0,2,0,0,0.69,0,1.09,0,4.27,0,0
108-118,0,0,0,0,5.5,0.95,25.04,0,20.69,3.45,0,0.63,2.03,0.44,5.95,0.51,5.32,0,21.68,0,1.7,3.69,108.9,1.93,1.25,0.94,0,2.17,0,0,0,0,3.95,0.81,0.97,0,0
120,0,0,0,0,3.79,11.22,39.37,2.45,25.35,1.31,0,0,6.47,0,0,0,2.41,0,15.45,0,6.25,2.96,73.01,0,10.22,0,0,1.78,0,0,0,0,0,0,0,0,0
