stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,22.82,161.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,276.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.35,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,14.17,0,0,0,0,0,0.93,52.86,0,0
 24-34,0,0,1.51,0.69,0.69,0,0,0,0.64,0,0,0,0,0,0,0,0,337.22,0,0,0,0,0,0,160.76,0,0
 36-46,0,0,1.93,0,0,3.78,0.7,0,0,0,0,0.84,0,0,0,0,3.61,802.24,0,0,0,0,0,0,269.63,0,0
 48-58,0,0,0,3.34,0,16.75,0,0,16.71,0,0,0,0,0,7.21,0,2.42,953.36,0,1.14,0,0,0,0,273.69,0.37,5.08
 60-70,0,0,1.52,1.16,0,4.81,0,0,20.65,0,0,0,0,0,14.2,0.93,3.62,694.44,0,0,0,0,0,0,330.06,1.74,0
 72-82,0,0,0,0.8,0,30.65,1.07,1.86,25.08,0,0,0,0.95,0,11.34,0,0.79,664.1,0,0,0,2.18,5.76,0,137.3,0,0
 84-94,0,0,0.85,2.54,0,11.19,0,0,9.85,0.87,0,0,0,0,4.99,0,0,450.41,0,0,0.84,2.02,0,0,94.43,1.64,0
 96-106,0,0,0,2.12,0,16.61,0,0,12.58,1.15,0,0,0,0,3.26,2.28,0,212.87,0,0,0,4.78,0,0,48.44,2.17,0
108-118,0,0,4.77,1.2,0,10.39,0,0,11.84,1.03,0,0,0,0,7.81,0.46,0,292.12,2.26,0,0,11.2,0,0,19.11,2.27,0
120,0,0,10.54,0,0,18.57,0,0,17.58,0,0,1.61,0,19.61,0,0,0,327.61,0,0,0,14.13,0,0,17.92,1.46,0
