stage,epidermis,eye,muscle,neural,presomitic.mesoderm
 14-21,0,0,0.86,1.05,1
 36-46,0,0,0,0.68,0
 72-82,0,0.5,4.28,1.09,0
 84-94,0,1.65,0,0,0
120,2.89,0,0,0,0
