stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,69.4,669.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0
  5-6,94.98,519.3,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,191.23,30,0,0,78.99,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,338.02,66.64,0,20.56,0,0,84.53,0,0,0,0,0,58.12,0,0,0,0,0,0,0,0,1196.48,344.98,0,0,756.34,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.95,0,58,0,16.1,57.04,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,1102.08,239.59,0,0,1771.73,0,0,46.87,88.74,0,18.68,0,0,0,0,0,0
 14-21,0,3.22,0,16.29,17.02,16.58,3.43,0,0,0,29.01,11.42,0,1.92,0,0,0,99.21,0,0,84.34,247.09,88.24,0,0.88,7.04,0,0,466.71,9.6,3.86,212.47,208.19,0,0,1.99,0,0
 24-34,0,0,1.75,3.41,7.38,0.6,8.89,0,0.93,1.52,34.4,0.67,0,1.04,0.98,0,0,44.46,0,0,8.26,359.31,4.89,0,0,0,0,3.91,2.17,0,2.52,21.56,226.66,0,0,5.68,0,0
 36-46,0,0,0,0,4.84,1.12,22.49,12.32,1.45,0.78,72.36,1.39,0,3.69,9.76,0,0,48.48,0,0,13.21,305.82,0,4.64,0,0,2.85,28.2,0,0,0,1.67,193.12,0,0,0,0,0
 48-58,0,0,0,0,14.39,1.45,18.45,0,1.6,1.27,83.12,0,0,0.98,0,0,0,31.86,0.59,0,4.85,85.1,0,0.78,1.47,0,0.47,4.05,0,0,0,0,103.78,0,1.01,0.44,0.9,3.19
 60-70,0,0,0,0,3.36,2.21,31.46,0,4.66,1.6,126.88,0,0,0.79,0.62,2.2,0,40.66,0,2.3,0.64,46.67,0,0,0,0,0,10.26,0,0,0,0,55.09,0,0,0,1.46,0
 72-82,0,0,0,0,5.42,12.86,30.3,0,0,1.39,130.94,1.06,0,1.72,0,1.35,0,65.51,0,0,1.13,16.97,0,0,10.48,0,0,5.34,0,0,0,0,28.73,0.87,0,10.48,0,0
 84-94,0,0,0,0,8.14,3.78,15.26,0,3.35,1.83,118.38,0,0,2.25,0,0.66,0,61.43,1.53,2.04,3.86,31.43,1.25,0.71,0.71,0,0,15.89,0,0,0,0,13.1,0.62,0,1.3,0.98,0
 96-106,0,0,0,0,9.99,29.31,13.43,0,2.43,2.15,99.12,0,0,0.87,0,0,0,35.54,0,2.17,0,23.64,0,3.64,8.03,0,0,7.93,0,0,0,0,25.38,0.71,0,2.97,0.67,0
108-118,0,0,0,0,16.89,6.13,18.87,0,6.3,5.71,125.73,0.62,0,0,0,4.04,0.69,61.74,0,0,0,25.24,0,5.36,0.66,0,0,3.04,0,0,0,0,29.03,1.35,1.7,0,0,2.14
120,1.19,0,0,0,2.4,6.6,18.43,0,5.34,0,132.56,0,0,0,0,0,0,61.71,0,0,2.24,9,0,16.31,0,0,0,0,0,0,0,0,35.6,0,0,0,0,0
