stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,29.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.97
 24-34,0,0,0,2.05,0.7,0,0,0,0,0,0,0,1.37,0,23.52,0,0,0,0,0,0,0,0,0,2.85
 36-46,0,0,0,1.71,0,0,0.69,1.33,0,2,0,0,5.32,0,20.72,0,0,0,0,0,0,12.85,0,0,20.31
 48-58,0,0,0,2.04,0,0,0,0,0,15.85,0,0,38.21,0.65,23.7,0,0,0,0,0,0,1.45,0,0,2.71
 60-70,0,0,0,25.67,0,0,0,0,0,89.98,0,0,174.98,0,41.83,0,0,0,0,0,0,3.35,0,0,9.79
 72-82,0,5.21,12.31,69.46,0,16.36,3.83,1.41,0,106.62,1,0,294.77,22.61,45.76,0,0,0,0,0,0,6.78,0,1.65,0
 84-94,0,0,0,50.56,0,12.59,4.21,1.8,0,226.42,0,0,350.47,23.56,40.37,0,0,0,0.67,0,0,7.06,0,0,4.87
 96-106,0,0.72,27.29,98.18,16.52,11.78,11.42,0,0,288.37,0,7.07,535.4,42.63,34.64,0,0.74,1.52,1.28,0,0,0,0,0,0
108-118,0,3.56,6.15,57.36,0.5,26.07,3.15,0,0.56,362.65,0,0.47,846.93,18.85,55.81,0,0,0,1.05,0,1.36,0.72,0,0,4.3
120,0,3.97,0,13.71,0,23.51,23.65,0,0,252.7,0,0,873.69,48.19,40.11,10.25,0,1.33,0,0,0,11.27,9.04,10.35,3.14
