stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,7.22,0,0,0,0,0,246.18,0.91,1.05,0,0,0,0
 24-34,0,0,2.13,0.6,0,1.32,0.68,0,1,0.61,0,0,13.06,3.58,3.18,5.12,0,0,4.71,56.3,0,0,0,0,0,948.9,1.43,4.52,0,0,0,17.6
 36-46,0,0,0,0,0,15.03,0,0,0,0,0,0,2.5,0,0,3.75,0,0,1.64,124.79,0,0,0,0,0,503.83,0,10.54,0,0.65,0,6.82
 48-58,0,0,0,0.84,0,23.54,0,0,5.27,0,0.83,6.96,10.11,0,0,4.58,0,0,0.57,151.05,0,0.88,0.46,0,0,353.85,0,12.65,0,0,0,13.74
 60-70,0,0.57,0,1.4,0,97.9,0,0,18.27,1.21,0,0,7.47,4.66,0,17.64,0,0,0,170.62,0,1.16,0,0,0,382.13,0,10.55,0,0.7,0,6.06
 72-82,0,0.53,0,2.76,0.97,108.79,0,0,22.87,4.64,0,0.98,8.65,0,6.16,12.8,0,0,1.28,196.9,1.32,0.79,0,1.31,0.64,629.62,0,26.23,0,0,0.69,0
 84-94,0,0,0,0.7,0.85,64.69,0,0,6.12,3.26,0,0.87,12.54,0,7.45,3.55,0,0,0,110.83,0,1.1,0,0,1.06,1111.1,0,16.07,0,4,0,9.61
 96-106,0,0,0,3.46,17.33,59.26,0.57,0,5.15,7.26,1.61,3.96,17.16,0,1.05,6.04,2.03,3.71,2.91,152.37,0,3.73,0,0,0.79,919.71,0,6.52,0,0,0,5.4
108-118,0,1,0,4.59,2.6,56.17,0,0,11.04,5.35,0,0,16.46,1.03,2.23,11.29,0,0.46,0,112.92,0,0.52,0,0,0.51,756,0,0,0,0.62,0,2.28
120,0,0,0,11.51,6.55,24.24,0,1.61,9.45,7.51,0,3.82,9.06,8.35,0,19.98,0,0,0,98.81,0,0,0,0,0,438,0,0,1.54,7.63,0,0
