stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.06,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.64,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,76.08,0,0,0,0,0,0
 10-12,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,3.3,21.57,0,0,0,0,0,0
 14-21,0,0,0,1.22,0,1.34,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,1.01,0,0,0,0,255.5,0,5.7,2.47,0,0,0
 24-34,0,0,0,1.28,0,1.08,0,0,0,0,0,6.16,0,17.32,0,0,0.59,1.89,0,0,24.4,0.69,1.92,0.62,0,422.27,0,0,0,4.63,0,4.07
 36-46,0,0,0,3.14,0,8.44,0,4.42,0,0,0.83,0,0,26.32,0,0,1.65,0,0,0.83,40.08,0,1.7,0,0,575.54,2.13,0,0,0.78,0,0
 48-58,0,0,0,1.09,0,1.62,0,1.77,0,1.2,0.43,0,0,1.44,0,0,0.7,1.17,0,0,25,0,1.25,0,0,260.44,0,0,0,4.41,0,0
 60-70,0,0,0,11.78,0,8.42,0,7,0,1.43,0,0,0,6.37,0,0,5.64,3.36,0,0,4.54,0,0.6,0,0,316.2,0,0,0,0,0,0
 72-82,0,0,0,28.9,0,2.86,0,4.41,0.62,5.19,3.39,0,0,13.51,0,0,2.05,2.66,0,1.88,15.35,0,1.49,1.88,0,275.69,0,0,0,0.99,3.4,0
 84-94,0,0,0,74.72,0,14.53,0,10.49,0,0,7.81,0,0,27.69,0.9,1.49,5.08,5.22,0,0,37.96,0,2.58,1.05,0,821.39,0.56,0,0,0,1.6,0
 96-106,0,1.41,0,46.43,16.11,4.82,0,5.39,0,5.87,9.69,0,0,44.71,1.01,1.58,3.72,5.07,0,0,30.93,0,6.66,0,0,567.63,1.32,0,0,0,2.87,1.47
108-118,0,1.72,0,77.23,0,13.03,0.49,11.83,0,0.94,10.73,0,0.59,47.68,0,10.66,2.89,4.13,1.62,0,4.19,0,6.16,0,0,562.65,1.8,0,0,0,7.1,0.81
120,0,11.35,1.66,193.51,0,12.52,0,17.52,0,0,19.82,0,0,25.29,0,0,5.59,11.22,0,0,15.15,0,4.88,0,0,379.43,1.13,0,0,0,2.58,1.36
