stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.61,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.95,1.02,0,0.91,0,0,0,0,0,0,0,0,0,0,0,1.78,0,1.92,8.71,12.04,0,0,0,0,0,0.92,0,0.83,7.96,0,0,0,0,0
 24-34,0,0,0.63,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,7.04,0,2.23,114.44,3.59,1.96,1.36,0,5.93,0,0,1.25,0,28.24,0,0,0,0,0
 36-46,0,0,1.07,0,0,8.57,0,0,0,1.54,0,0.79,0,0,0,0,0,5.31,0,1.38,175.98,0,0,0,0,44.82,0.81,0,0,0,82.46,0,0,0,0,0
 48-58,0,0,0,0,0,19.26,0,0,0.55,1.09,0.41,0,0,0,0,0,0,3.58,0,0.39,255.17,0,0.58,0.42,0.97,2.89,0,0,0,0,39.9,0,0,0,0,0
 60-70,0,0.57,0,0,0,286.2,0,0,0,10.01,0,0,0,0,1.16,0.73,0,9.24,0,0,495.86,0,1.4,0,0,4.78,0,0,0,0,90.08,0,1.65,0,0,0
 72-82,0,0,0,0.92,0,514.95,0,0,0.75,10.09,0,0,0,0,0,0,0,17.43,0,0,878.61,0,3.28,0,0,0,0,0,0,0,72.05,2.32,1.63,0.89,0.71,0
 84-94,0,0,1.95,0.66,0,259.29,0,0,0,20.58,0,0,0.7,0,0,0,0,19.1,0.6,1.4,562.86,0,0,14.22,0,0,0,0,0.62,0,56.82,0,0,0,0,0
 96-106,0,0,2.37,0,1.05,349.46,0,0,0,19.97,0,0,0.81,0,0,0,0.7,16.35,0,1.21,704.62,0,0.74,1.16,0,4,0,0,0,0,42.1,0,1.76,11.44,0,4.53
108-118,0,1.02,8.28,0,0,362.42,1.33,0,0,24.28,0,0.89,0,2.02,0,0,0.49,13.5,0,3.17,614.62,0,2.91,6.15,0,0.92,0,0,0.94,0,63.98,0,0,0,0,0
120,0,0,4.85,0,0,260.06,0,2.33,1.56,35.35,0,0,0,0,0,0,19.69,0,0,10.81,901.06,0,18.09,4.91,0,0,0,0,0,0,71.57,0,0,0,0,0
