stage,epidermis,eye,glial,mesenchyme,muscle,neural,spinal.cord
 14-21,0,0,0,0,0,3.46,1.67
 24-34,0,0,0,0,0,11.54,6.7
 36-46,0,0.58,0.62,0,0,23.31,1.93
 48-58,0.41,0,0,0,0,18.61,2.95
 60-70,0,0,0,0.96,0,1.67,0
 72-82,0,0,1.69,0,0,0,0
120,0,0,0,0,2.96,15.29,0
