stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,38.62,383.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.78,211.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,0,0,0,0
  7-9,0,13.98,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,207.61,0,57.49,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,0,111.36,0,59.34,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,2.65,0,0,0,0,1.35,0,0,0,0,0,1.03,0,4.71,17.14,0.93,0,1.15,4.21,2.73,4.45,0,0,0
 24-34,0,0,0,0,1.72,0.61,0,0,0,0,0,0,0,0.68,0,2.13,0,0,24.91,0,0,1.2,0,0,3.48,0,0,2.11
 36-46,0,0,0,0,0,7.98,1.9,0,0,3.15,0,0,0,0,0,4.39,0,0,17.28,0,0,0,0,0,10.43,0,0,2.61
 48-58,0,0,0,0,0,12.58,0.88,0,0,11.48,0,0,0,0,1.04,3.91,0,0.53,30.72,0,0,2.88,0,0,10.19,0,0,3.93
 60-70,0,0,0,0,0.57,19.24,0,0,0,0,0,0,0,0,0,9.59,7.7,1.39,9.25,0,0,0,0,0,4.69,0,0,0
 72-82,0,0,0,0,0,42.55,0,0,0,9.35,0.7,2.03,0,0,0,13.6,0,0.78,57.98,0,0,0,0,0,0,0,1.01,0.65
 84-94,0,0,0,0,1.42,6.19,0,3.09,0,1.23,0,1.08,0,0,0,4.11,10.84,0,26.99,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.86,3.37,0,0.9,2.28,0,0,0,0,0,0,9.77,0,2.58,24.78,0,0,0,0,0,0,1.68,0,0.74
108-118,0,0,0.47,0,0,6.81,0,0,0,3.41,0,0.69,1.59,0,0,1.71,0,0.51,10.48,0,0,0,0,0,1.09,0.46,0,0
120,0,0,0,0,6.67,18.32,0,0,0,0,0,0,0,0,0,12.23,0,0,9.53,0,0,0,0,0,0,0,0,0
