stage,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,9.66,0,0,0,0,0,0,0,0,0,17.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.95,0,0,0,0,4.03,0,0,5.07,0,0,0,0,0,0
 14-21,0,1.91,0,0,0,0,0,0,0,0,0,0,6.05,5.6,0,0,0,0.84,0,0,0,0
 24-34,0.59,1.8,0,0,0,0,0,0,1.94,0,0,2.05,5.47,1.14,0,0,0,0,0.81,0.78,2.27,0.96
 36-46,0,0,0.68,4.96,0.74,0,0,0,0,0,0,0,1.65,0,0,0,0,0,1.39,0,2.4,0
 48-58,0,0,0,2.43,0,1.19,0,0.7,0,0.92,0,0.49,7.11,0,0,0,0,0,3.6,0,0.39,0
 60-70,0,0,0,1.28,0,0,0,0,0,0.92,1.46,0.67,0.71,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.59,0,1.97,0,0,0,2.43,0,1.53,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.49,1.33,0,0,0,0,0,0,4.76,0,0,3.63,0,1.29,0,0,0,0,0,0.63,0
 96-106,0,0.58,0.75,0,0,5.9,0,0,0,1.52,0,0.75,3.51,0,0,0,0,0,7.61,0,0,0
108-118,0,0,0,0,0.5,1.31,0.45,0,0,2.49,0,0,0,0,0,0,0.64,0,0,0,0,0
120,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0
