stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,100.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.25,0,0,0,0,0,0,0,0,0,0,0,10.37,0,0
  7-9,0,3.53,0,0,0,0,0,0,0,0,0,0,8.01,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.46,0,0,19.34,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.56,0,0,0,1.82,0
 24-34,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0
 36-46,0,0,0,0.86,0,0,0.93,0,0,0.91,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.43,0.57,0,0,0,0,0
 72-82,0,0,0,0.75,0,0,0.8,0,0,1.25,0,0,0,0,0.54
 84-94,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.6,0,0,0.82,0,0,1.42,0,0.6,0,0,0,0
108-118,0,0,0,0,0,0,0,0.44,0,0,0,1.02,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99
