stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,111.64,1531.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.84,749.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.54,0,0,0,8.27,0,13.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.26,4.99,9.59,0,0,0,25.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.61,5.33,0,0,110.09,0,7,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.03,106.54,0,34.65,0,45.45,0,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,1771.41,35.84,0,0,394.56,0,9.01,6.03,0,41.98,0,5.78,3.28,0,0,0,0,0
 14-21,0,0,9.94,137.57,59.38,0,92.34,0,0,0,34.97,3.78,9.21,0,5.69,13.68,0,0,1.56,0,84.42,0.82,0,54.9,1709.86,53.18,7.45,15.22,38.85,0,47.53,1.4,226.67,8.64,0,111.32,410.77,0,0,1.81,0,0
 24-34,0,0,6.02,53.06,9.06,0,387.18,0,0.85,0,42.08,1.08,0,1.55,9.05,5.48,9.11,7.09,5.55,10.99,212.09,0.91,1.79,74.8,2562,11.27,12.51,18.66,0,0,71.1,0,1.97,3.7,0,15.02,442.23,0,0,41,0,4.31
 36-46,0,0,0,25.26,2.93,0,524.67,0,3.75,0,46.13,3.43,0.59,2.25,12.03,3.06,9.58,0.6,3.79,0,159.1,0.88,6.75,47.35,1303.66,5.97,4.55,13.68,0,0,65.39,0,0,2.26,2.3,0,262.97,0,0,18.79,0,7.95
 48-58,0,0,0,25.5,2.14,0,533.85,1.17,4.02,4.38,56.29,2.4,0,1.64,8.53,0.4,0.73,4.69,2.46,0,159.82,0,10.27,37.26,711.22,1.78,3.68,7.33,0,0,22.16,0,0,0,0,0,137.01,0,0,12.77,0,1.84
 60-70,0.81,0,0,41.63,3.05,0,514.8,1.01,6.12,0,82.72,6.91,0,4.39,5.74,0.77,1.52,2.32,2.03,0,164.53,1.41,7.72,22.39,449.44,1,4.83,1.64,0,0,18.61,0,0,0,0,0,54.74,0,0.61,19.92,1.79,6.38
 72-82,0,0,0,19.59,1.08,0,248.72,0,0,5.29,75.67,3.62,0,10.7,6.62,4.45,3.02,3.22,0.5,0,180.29,2.36,4.02,23.22,320.47,2.69,9.3,3.1,0,0.72,8.06,0,0,1.13,0,0,35.54,4.52,0.63,30.18,1.28,12.72
 84-94,0,0,1.58,27.93,6.77,0,184.57,0,2.5,3.81,59.06,10.01,0,11.31,7.47,2.66,1.8,0.96,4.84,0.56,170.22,0.75,13.92,36.07,250.29,4.71,7.84,6.28,0,0,30.15,0,0,2.65,0,0,29.55,1.39,3.56,35.55,2.05,0
 96-106,2.68,0,0,29.57,3.14,0.57,190.55,0,0.84,0,68.87,16.4,0,2.17,14.57,1.06,3.26,1.25,13.39,0,119.72,0,5.49,24.23,230.88,2.84,9.89,12.1,0,2.5,12.09,2.06,0,0.69,0,0,6.39,1.26,0,17.34,3.79,0
108-118,0,0,0.44,34.78,11.7,4.23,195.41,0,0,3.73,84.58,11.52,0,0,13.23,2.15,4.43,0.76,10,0,113.17,0,7.13,19.76,309.28,5.51,5.85,13.39,0,3.28,12.77,0,0,0.87,0.46,0,2.72,1.08,0.77,22.8,3.64,0.49
120,0,0,0,24.25,22.22,0,104.13,5.23,0,7.34,115.07,1.66,0,0,58.59,1.45,9.81,2.39,5.21,0,168.57,0,2.58,24.24,305.71,0,6.31,5.96,0,5.5,17.66,0,0,1.22,0,0,6.83,0,0,35.69,1.74,0
