stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,4.08,3.56,0,0,0,0,1.07,0,0,0,0,1.16,0,1.28,16.85,0,0,0,0,1.91,1.4,0,0,0,10.83
 24-34,0,0,1.6,0,0,0,0,0,0,0,0,4.17,0,0,19.19,1.38,0,0,0,0,0,4.1,0,0,65.71
 36-46,0,31.42,0,0,0,0,0,0,0,0,0,14.41,0,1.81,29.92,5.78,0,0,0,0,0,14.36,0,0,80.94
 48-58,0,0,3.52,0,0.43,0,0,0,0,0,3.49,34.68,0,5.53,80.1,0.71,0,0,0,0,0,8.64,0,0,78.88
 60-70,0,0,10.3,1.89,0,0,0,0,0,0,0,74.71,0,0.58,106.08,0,0,0,8.56,0,0,16.7,0,0,65.84
 72-82,0,0,8.34,0,0,2.95,0,0,0,3.06,0,42.16,0,3.31,113.65,0,1.29,0.8,3.37,0,0,21.61,0,0,58.27
 84-94,0.64,0,16.05,0,0,3.09,0,3.95,0.69,6.51,0,39.45,0.57,0.61,112.41,0,0,0,0,0,0,12.49,0,0.84,62.96
 96-106,0,0,3.33,0,0,1,0,0,0,8.23,0,29.56,0,2.93,117.69,0,0.57,0,14.91,0,0,9.91,0,0,38.95
108-118,0.43,0,5.35,0.58,0,2.65,0.7,0,0,9.34,0,38.81,0,0.75,88.97,0,0,0,9.72,0,0,8.48,0.68,0,21.95
120,0,0,38.23,0,0,22.06,0,0,0,7.53,0,28.63,0,1.24,168.28,0,0,0,0,0,0,0,0,0,4.4
