stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,44.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.32,125.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.69,0,0,0,42.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.99,6.25,0,0,34.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.15,0,0,0,21.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.29,15.22,5.86,0,7.27,0,0,0,4.01,2.56,0,0,0.89,0,0,0,4.33,0,8.1,0,4.11,102.33,0,1.8,0,2.56,0,16.02,0.81,1.23,17.76,31.84,0,2.12,0,0
 24-34,0,0,0,1.81,8.32,1.6,0,12.44,0,1.2,0.92,0,0,0,0,0.62,1.23,0,0.61,0.69,0.77,26.28,0.89,2.56,96.84,0,0,0.82,0,10.2,0,0,0.76,2.61,13.13,0,8.28,0,0
 36-46,0,0,0,0,6.37,0,0,7,0,0,0,0,0.95,0,0,1.65,0.6,0,0,0.56,0,7.01,0.89,2.65,32.91,0.86,0,0,0,3.85,0,0.6,0,0,2.8,0,6.83,0,0.67
 48-58,0,0,0,0,11.65,0,0,5.05,2.73,0.56,0,3.3,0,0,0,2.88,0.93,0,0,2.25,0,14.71,0,1.33,37.66,0,0,1.73,0,1.69,0,0,3.22,0,12.93,0,0,0,0.56
 60-70,0,0,0,0,8.97,0,0,3.11,0,0,9.89,3.45,0,0,0,0,0,4.25,0,1.92,0,22.73,2.88,0.89,10.54,0,0,0.83,0,7.59,0,1.54,1.57,0,1.03,1.11,0,0,0
 72-82,0,0,0.54,0,1.84,0.51,0,3.65,7.1,4.23,0,0,0,0,0,3.88,0,0,0,0,0,20.07,0.81,1.48,7.23,0,0,0,0,1.35,0,0,0,0,0,0.5,3.56,1.14,0.55
 84-94,0,0,1.14,1.01,3.51,0.69,0,2.73,0,0.56,1.32,2.8,1.53,2.81,1.46,1.26,1.32,0.68,0,0,0,13.47,0.72,3.79,4.01,0,0,0,0,5.9,0,0,0,0,0,0,1.81,0,1.56
 96-106,0,0,0,0,2.38,10.64,0,5.58,0.64,0,0,0,1.3,0,1.64,5.8,3.57,0,0,0,0,8.32,0,0.79,1.12,0.91,0,0,0,12.95,0,0,0,0,0,0,1.21,0,0
108-118,0,0,0,0,0.56,0.89,1.83,0.58,0,1.61,0,9.51,2.21,0,0,14.84,0.41,2.36,0,0,2.01,23.72,0,1.18,3.64,0.69,0.55,0,0,7.62,0,0,0.5,0,0,0,1.12,0,0
120,0,0,0,0,0,1.31,0,8.04,0,6.75,0,0,0,0,0,9.13,1.89,4.95,0,0,0,7.96,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0
