stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,94.81,2014.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,167.83,2274.41,6.55,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,16.42,8.7,0,0,79.08,0,24.6,0,0,0,0,0,0,0,0,0,0,0
  7-9,40.68,44.54,44.07,0,0,157.19,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,1199.01,67.28,0,0,349,0,4.34,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.18,65.79,0,19.1,72.94,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,1008.86,0,0,0,196.14,0,0,0,0,52.78,0,3.24,3.51,0,0,0,0,0
 14-21,0,0,3.94,41.86,19.12,25.13,0,0,0,0.82,7.19,0,0,0,2,0,0,0,0,21.79,0,0,11.49,344.14,3.73,2.96,0.94,4.64,0,8.11,0,44.89,2.42,0,44.23,69.7,0,0,1.05,0,0
 24-34,0,0,6.29,12.83,10.6,50.3,0,0.89,0.68,6.53,0,0,1,0,1.54,0,1.98,0,0,26.14,0,0,11.52,401.86,0.68,2.3,3.81,0,0,8.87,0,0,1.7,0,12.65,91.05,0,0,2.24,0,0.69
 36-46,0,0,0,3.09,3.1,68.62,0.67,0.83,0,15.23,0,0,1.76,0,0,0,0,1.52,0,35.62,0,1.7,6.8,364.24,0,1.01,0.66,0,0,23.02,0,0,0.63,0,0,76.08,0,0,4.09,0,0
 48-58,0,0,0,9.49,1.13,105.34,0,0,0.67,24.24,0,0,1.8,0.62,0,0.62,0.42,0.65,0.74,26.2,0,1.32,6.73,326.06,0,0,9.73,0,0,3.22,0,0,0,0,0,53.21,0,0,7.29,0,0
 60-70,0,0,0,0.71,0,119.15,0,2.01,6.36,16.19,1.44,0,0.9,0.57,0,0,0,1.2,0,36.75,0.62,0.75,2.12,181.49,0,0,0.65,0,0,25.21,0,0,0,0,0,26.09,0,0,4.63,0,0
 72-82,0,0,0,3.36,4.21,78.02,2.7,0,3.8,16.43,0.66,0.52,1.76,1.17,0,0.65,0,0,0,35.14,1.23,1.43,11.39,137.82,1.94,1.26,4.3,0,0,8.42,0,0,0,0,0,8.77,0,0.66,4.52,0,1.88
 84-94,0,0,0,12.01,12.53,77.65,1.51,0.63,3.69,20.98,0.76,0,0,2.9,0,3.15,0,1.02,0.71,42.16,1.75,6.1,4.54,123.39,1.18,4.8,5.58,0,0.83,40.12,0,0,1.11,0,0,13.76,0,0,0.94,2.1,0
 96-106,0,0,0,14.62,0,34.62,1.31,1.58,0,12.55,0,0,0.66,2.61,0,0.75,1.08,0,0,45.4,0,0,1.01,147.34,0,0.59,0.85,0,0,18.19,0,0,1.4,0,0,10.48,0,0,0.74,2.95,0
108-118,0,0,0,14.89,5.18,40.74,0,1.75,1.98,33.88,2.92,0,0,5.25,0.8,3.21,1.24,1,0,30.06,1.83,2.98,5.79,123.11,2.38,0,1.78,0,3.53,19.59,0,0,0,0.49,0,7.44,0.5,4.23,4.46,1.79,0
120,0,0,0,41.04,17.09,40.98,0,18.44,4.45,58.49,1.71,0,0,3.12,4.02,0,0,0,0,97.27,4.1,13.3,3.16,204.4,0,0,0,0,0,22.34,0,0,4.63,1.32,0,0,0,14.78,13.16,3.15,0
