stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,83.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,69.37,0,0,0,0,0,0,0,0,0,0,0,20.33,0,0,7.41,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,4.27,4.68,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,0,0,7.73,0,0,0,0,0,0,0,45.04,0,12.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,11.92,0,0,0,4.89,0,0,1.66,1.32,4.45,4.09,1.44,0,0,0
 24-34,0,0,1.39,0,0,0,0,0,0,1.07,0,0,0.96,0.91,0.6,0,4.62,0,4.43,0,0,0.94,0,0
 36-46,0,0,8.64,0,0,0,0,0,0,0,4.03,0,0,16.92,0,0,0.78,0,38.54,0,1.22,2.22,0,0
 48-58,0,0,2.15,0,0,0.38,0,0.87,0,0,2.37,0,0.44,12.91,0,0,10.25,0,7.49,0,0.6,22.65,0,0
 60-70,0,0,0,0,0,12.95,0,0,1.16,0,24.49,0,0.6,18.97,0,0,4.3,0,10.2,0,2.85,26.99,0,0
 72-82,0,0,1.12,0,0,3.66,0,0,0,0,56.59,0,0,8.57,0,0,4.28,0,73.05,0,0.77,121.2,0,6.76
 84-94,0,0,0,0,0,10.91,0,0,0,0,55.08,2.89,0,0.79,0,0,0.84,0,146.56,0,0,43.94,3.53,0
 96-106,0,0,1.3,5.61,0,0,0,10.45,0,0,60.98,0,1.41,6.31,0.75,0,0.76,0,188.23,0,0,197.22,0,0
108-118,0,0,0,0.46,2,4.78,0.42,1.7,0.54,0.69,84.48,5.13,0.65,13.16,0,0,2.03,0,205.06,0,0,77.04,0,0
120,0,0,2.21,0,0,2.62,0,0,0,0,103.7,0,1.71,23.34,3.28,0,2.5,0,196.89,0,11.27,58.16,0,0
