stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,32.48,631.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.98,724.97,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,25.82,0,0,0,0,0
  7-9,9.76,0,4.65,0,4.06,0,0,0,0,0,0,0,112.32,24.51,0,0,48.33,0,0,0,0,0,0
 10-12,0,0,7.45,0,3.9,0,0,0,0,0,0,0,56.12,0,0,0,4.39,10.14,0,0,0,0,0
 14-21,0,0,0,3.14,0,0,0,0,0.94,0,0,7.21,2.76,0,0,0,0,1.91,1.15,0,1.65,0,0
 24-34,0,0,0,0.64,0,0,0,0.86,0,0,0,1,1.58,0,0,0,0,0.71,0,0,0,1.4,0
 36-46,0,0,0.56,0.6,0.61,0,0,0,0.58,0,0,0,3.78,0,0,0,0,3.07,0,0,0,0,0
 48-58,0,0,0,2.37,0,0,0,0,0,0,0,0,0.61,0,0.84,0,0,0,0,0,0,0.89,0.5
 60-70,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,1.87,0,0,0
 72-82,0,0,0,0.55,1.84,0,1.18,0,0,0,0,0,0,0,0,0,0,0.49,0,0.55,0,0,0
 84-94,0,0,0,1.18,0,0,0,0,0,0.78,1.17,0,0,0,0,0,0,2.95,0,0,0,0,0
108-118,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0
120,0,0,0,2.57,0,1.8,0,0,0,0,0,0,0,0,0,2.25,0,2.12,0,0,0,0,0
