stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,238.21,2464.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,88.48,2488.57,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,131.9,22.34,0,0,30.58,0,15.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,99.19,122.42,0,210.14,0,0,530.4,0,0,0,0,94.89,0,0,0,0,0,0,0,0,0,0,0,3199.86,147.33,0,0,1367.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,162.09,0,392.55,0,13.14,471.86,0,0,0,0,40.22,0,0,0,0,0,0,0,0,0,0,0,4297.64,152.46,0,0,1803.59,0,4.24,0,4.61,137.88,0,9.79,4.54,0,0,0,0,0
 14-21,0,0,0,15.77,452.92,77.61,134.83,3.56,0,152.97,5.68,3.48,3.08,0,3.43,1.73,0,0,1.13,155.52,0,0,113.9,1831.67,38.61,24.49,87.1,130.86,0,18.83,1.53,383.55,75.15,0,212.41,951.62,0,0,6.43,0,0
 24-34,0,0,3.35,6.9,79.75,3.76,185.93,6.05,4.7,123.07,2.62,0,0.98,0.77,0,1.84,9.97,2.25,1.54,229.84,0.61,1.91,92.12,1496.56,5.29,58.22,28.52,0,0,47.45,0,3.08,14.51,5.54,36.85,472.4,0,0,40.87,0,0
 36-46,0,0,0,1.56,39.39,0,407.23,2.66,10.54,102.97,2.45,0,4.37,0,0.59,15.47,4.28,0,6.19,263.34,1.78,7.09,86.96,1284.06,0.78,61.1,22.79,0,1.69,50.4,0,1.71,10.15,0,0.83,353.74,0,1.37,13.41,0,0
 48-58,0,0,0,0.88,26.33,0,691.63,1.72,8.86,93.01,0.5,0,10.01,1.07,0,0.39,5.73,7.65,0,343.55,0.71,8.61,64.73,1052.84,4,27.88,15.51,0,1.2,33.87,0,0,4.22,0,0,265.08,0,1.38,12.8,0,5.87
 60-70,0,0,1.23,0,20,0,1112.18,9.41,8.44,118.77,8.47,0,0,0,0,0,5.67,6.45,0,338.1,0,23.23,29.3,859.39,0.57,38.6,16.41,0,8.46,20.49,0,0,2.5,1.01,0,122.88,0.81,7.9,6.64,3.61,0.79
 72-82,0,0,4.38,0,41.41,1.67,521.17,2,5.83,110,5.41,0,1.4,0,0.56,1.5,8.98,7.06,0,327.48,11.96,8.12,31.72,671.19,1.26,49.52,31.79,0,4.33,7.63,0,0,2.29,0,0,109.26,0,4.97,8.36,3.32,9.05
 84-94,0,0,4.27,1.01,20.84,1.19,474.75,5.26,24.34,101.45,22.93,3.33,2.8,0,1.67,0,16.98,0.74,0,348.44,1.23,21.82,46.7,566.8,4.3,53.38,49.09,0,0.57,47.45,0,0,8.73,0,0,77.99,2.82,9.09,7.96,6.42,4.36
 96-106,0,0,5.14,1.07,32.61,4.66,360.1,7.92,14.9,114.17,12.46,0,3.98,1.34,1.48,3.63,14.05,17.48,0,289.93,10.57,9.8,29.08,463.63,1.31,122.32,63.04,0,10.72,50.3,0,0,1.88,0,0,89.68,1.8,13.59,8.78,7.08,2.9
108-118,0,0,8.63,1.68,44.39,3.39,392.1,9.61,12.69,140.48,12.25,0,0.8,4.59,1.44,1.65,15.97,2.5,2.24,285.59,13.38,9.8,37.81,568.18,2.66,74.86,52.21,0,1.59,28.02,0,0,6.5,0,0,59.06,1.5,1.65,11.7,2.97,1.15
120,1.19,0,3.73,0,44.44,0,300.89,2.59,3.3,143.22,22.2,0,15.37,10.4,3.51,21.36,13,3.16,0,261.8,1.56,3.2,24.39,437.23,0,68.76,79.1,0,0,9.21,0,0,5.27,0,0,19.41,0,0,33.3,0,0
