stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,56.16,0,9.71,0,0,0,0,0,0,0,19.13,0,0,6,0,0,0,0,0,0
 10-12,0,10.48,0,0,0,0,0,0,0,0,0,42.57,0,0,31.29,0,0,0,0,0,0
 14-21,0,2.68,1.22,1.21,0.97,1.08,2.24,0,1.02,1.86,2.08,23.46,1.13,0,6.17,0.86,10.57,0.9,2.34,11.02,0
 24-34,0,0,0.62,1.38,0.83,0,0,0,2.53,3.5,1.38,14.82,0,0,0,0,0,0,0,2.59,0
 36-46,0,0,0,4.52,0,0,0,0,0,2.41,0.57,4.85,0,0,0,0,0,0,0,0.77,1.04
 48-58,0,0,0,0.92,0.44,0,0,0,0,1.18,0,1.92,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.51,1.99,0,0,0,0.6,0,7.92,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.63,1.94,0,0,0,0,8.64,0,2.48,0,0,0,0,0,0,0,1.27,0
 84-94,0,0,0,0,0.91,0,0,0,0,4.33,0,3.75,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,6.01,0,0,0.58,1.38,0,0,0,0,0,0,0
108-118,0,0,2.15,0.5,0,0,0,0,0,6.75,0,6.65,0,0,0,0,0,0,0,0,0
