stage,blastomeres,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm
  3-4,28.41,0,0,0,0,0,0
  5-6,30.39,0,7.31,0,0,0,7.36
  7-9,0,10.08,0,106.96,11.7,16.35,0
 10-12,0,0,0,42.86,0,0,0
