stage,axial,blastomeres,epidermis,eye,glial,gut,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  3-4,13.98,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0
 24-34,0,0,1.05,0,0,0,0,0,0,0,0,8.71,0,0,0,2.61,0.69
 36-46,0,0,0,2.29,0.65,0,0,0,0,0,0,23.07,0,0,0,8.91,0
 48-58,0,0,0,8.89,1.86,0,0,0,1.34,0,0,34.5,0,8.62,0,1.07,0
 60-70,0,0,0,12.31,7.68,0,0,0,7.11,0,0.67,14.32,0,0,0,0,0
 72-82,0,0,0,5.91,1.81,0,0,0,1.92,2.09,0,37.37,0.93,0,0,1.88,3.55
 84-94,0,0,0,7.69,0.88,0.99,0,1.19,3.86,0,0,13.41,0,2.5,0,1.18,0
 96-106,0,0,0,4.43,0,0,0.74,0,2.19,0,0,11.83,1.19,0,0,0,12.36
108-118,0,0,0,3.95,0,0,0,0,0,0,0,0.92,0,0.81,0.48,0,0
120,0,0,0,0,0,0,0,0,0,0,0,46.83,0,0,0,0,0
