stage,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,4.25,0,0.85,0,0,0,0,1.19,0,0,11.2,0,0,0,0,0,1.04,2.59,0,0
 24-34,0,1.67,18.42,1.49,0,0,0,0.78,7.27,0,3.79,99.9,0.65,0,4.64,1.54,0,0.68,22.14,0,0
 36-46,3.68,0,51.49,0,0,0,0,0,11.97,0,0,85.6,0,0.98,0,0,0.62,0,5.16,1.32,0
 48-58,0,0,62.76,0.96,0,0,0.38,0,2.47,0,0.45,42.68,0,0,0.69,0,0,0,0.61,0,3.32
 60-70,3.28,0,31.12,0,2.41,1.8,0,0,2.07,0,8.5,40.93,0,0,0,0,0,0,0,0,0
 72-82,1.61,1.48,3.62,1.39,0,0,0,0,3.62,0.72,0,11.15,0,0,0,0,0,0,1.68,0,0
 84-94,0,0,4.5,1.69,0,0,0,0,9.77,4.45,1.85,4.77,0,0,0,0,0,0,0,2.16,0
 96-106,0,0,0,0,0,0,0,0,1.64,1.41,0,2.94,0,0,0,0,0,0,0,0,0
108-118,0,2.99,0,0,0,0,0,0.87,2.4,0,1.5,4.84,0,0,0,0,0,0,0,0,0
120,0,0,5.51,4.81,0,2.27,0,0,0,0,0,38.19,0,0,0,0,0,0,0,1.23,0
