stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.09,476.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.92,0,0,0,0,0,0,0,0,0
  5-6,100.97,700.89,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,32.24,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0
  7-9,3.43,11.35,0,15.53,0,0,0,7.22,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0,0,0,190.72,19.47,0,0,36.62,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,22.93,0,4.07,0,0,0,15.66,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,244.64,37.01,0,0,31.87,0,0,0,6.67,0,0,0,0,0,0,0
 14-21,0,0,0,3.25,20.82,4.48,0,5.11,0,1.17,0,0.97,0,0,0,0,0,0,0,0,0,6.14,0,1.83,94.85,3.26,0,3.2,0,0,6.84,8.86,0.82,9.54,40.91,0,0,1.74,0,0
 24-34,0,0,0,2.58,20.88,0,0,23.35,0,3.6,0.99,5.93,0,3.85,1.98,1.04,1.41,0,0,0,1.23,15.05,0,15.98,297.83,4.08,7.5,1,0,0,16.92,0,0.82,1.26,101.86,0,0,27.16,0,5.67
 36-46,0,0,0,0,23.19,0,0,33.33,3.75,2.42,0.65,12.38,0.56,0,9.47,2.22,0,0,0,0,7.92,38.43,0,1.22,439.68,0.58,8.24,1.88,0,7.92,22.63,0,0,0.6,106.55,0,0,15.31,0,13.06
 48-58,0,0,0,0,21.84,3.59,0,61.8,1.01,8.66,1.26,57.51,0.38,0,1.07,2.07,0,0,0,0.8,14.16,52.68,1.37,24.27,618.77,10.22,3.68,9.26,0,0.56,10.11,0,0,0,110.61,0,0,13.89,0,20.28
 60-70,0,0,0.82,0,6.95,0.57,0,227.16,3.28,6.34,1.23,59.26,4.71,0,0,1.89,0,0,0,0,12.5,56.27,0,6.5,706,7.84,7.01,0.68,0,1.21,16.27,0,2.06,0,119.21,0.61,1.5,11.48,0,14.87
 72-82,0,0,0.98,0,23.11,5.2,0,285.21,6.83,4.74,6.62,93.3,7.26,0,0,6.16,0.54,5.58,0.61,1.36,6.03,67.9,1.01,11.92,639.92,0.5,6.1,4.21,0,0,13.36,0,0,0,62.57,0,1.32,22.3,2.26,24.56
 84-94,0,0,0,0,15.11,15.16,0,187.15,5.01,3.61,3.85,75.69,6.62,0,2.95,6.37,1.75,6.02,0,2.07,2.26,46.63,0,7.69,538.29,1.52,3.47,1.4,0,0,21.05,0,0.7,0,63.23,5.51,0,10.72,2.95,8.02
 96-106,0,0,4.03,0,7.87,2.15,0,224.54,1.94,1.32,2.03,77.95,2.68,0,0.89,4.22,2.33,4.02,1.3,22.47,5.45,56.66,2.34,5.27,528.54,0.58,19.27,3.97,0,6.23,4.77,0,0,0,35.94,0,0,10.76,1,23.97
108-118,0,0,0,0.74,22.25,8.73,0.88,232.24,1.72,0.72,0,78.99,4.61,0,3.12,5.73,3.81,1.44,0,2.73,20.26,46.25,3.89,6.12,574.47,0,11.93,7.37,0,0,11.55,0,0.42,0,27.43,3.98,1.23,8.16,2.13,17.64
120,0,0,0,0,32.71,3.23,0,305.79,0,5.91,0,86.37,0,0,0,13.55,0,0,0,5.65,3.89,137.48,19.84,11.57,1082.41,5.58,9.19,3.35,0,0,2.67,0,3.24,0,17.13,0,2.2,7.81,0,10.69
