stage,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,18.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,12.2,3.5,0,0,0,17.1,3.96,0,9.31,0,0
 10-12,0,0,0,0,0,0,14.56,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1.84,0,0,0
 24-34,0,0,0,0,0,0,9.05,0,7.23,0,4.86,0
 36-46,0,0,0,0,0,0.55,16.64,0,6.13,0,1.3,0
 48-58,0,0,0,0,0,0,1.38,0,3.55,0,0,0
 60-70,0,0,0,0,0,0,2.37,0,0,0,0,0
 72-82,0,0,6.44,0,0,0,0,0,2.28,0,0,0
 84-94,0,0,10.5,5.74,0,0,1.83,0,1.65,0,0,0
 96-106,0,0,23.56,4.72,0.99,0,5.54,0,2.88,0,0,0
108-118,0,0,10.25,14.19,0,0,1.77,0,0,0,0,1.53
120,0,0,14.93,113.28,0,0,13.14,0,2.28,0,0,0
