stage,erythrocytes,fast_muscle,gut,muscle,spinal_cord,vasculature
 60-70,0,0,0,0,0,9.01
 72-82,0,7.93,0,1.26,0,0
 84-94,0,8.25,2.99,0,1.73,0
 96-106,1.18,10.04,0,0,0,0
108-118,0,14.15,0,0,0,0
120,0,43.28,0,0,0,0
