stage,blastomeres,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,10.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.84,0,0,0,0,0,0,0,4.57,0,0,0
 10-12,0,3.4,0,0,0,0,8.24,6.39,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.32,1.23,0,0,0,0,1.72
 24-34,0,0,0,0,0.84,0.6,2.15,0.69,0.62,0,0,0.67,1.86
 36-46,0,0,0,0,0,0,3.71,0,0,0,0,0,1.06
 48-58,0,0,1.05,0,0,0,5.33,0.42,0,0,0,0,0
 60-70,0,0,3.39,0.64,0.79,0,0,0,4.97,0,0,0,5.77
 72-82,0,0,0,0.79,1.96,0,0.61,0,9.36,0,0,0,0
 84-94,0,0,2.07,2.5,0,0,1.13,0,18.8,0,0.68,0,0
 96-106,0,8.45,5.74,6.16,0,0,0.92,0,14.24,0,0,0,0
108-118,0,0,6.28,0.94,0,0,2.5,0,10.89,0,0,0,1.33
120,0,1.5,6.61,5.79,0,0,1.52,0,20.48,0,0,0,0
