stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,vasculature
  3-4,0,263.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,285.21,13.2,0,7.74,0,0,0,8.03,22.93,0,0,0
  7-9,19.04,13.95,3.89,21.26,5.71,260.87,5.55,0,104.39,0,0,0,0
 10-12,0,0,12.2,37.51,8.6,140.65,10.37,0,84.06,0,8.97,0,0
 14-21,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.67,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.12,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,8.04,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.06,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.01
120,0,0,0,0,0,3.25,0,0,0,0,0,1.52,0
