stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,34.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,3.26,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0
 24-34,0,0,0,4.35,0,1.66,0,0,0,0,2.77,0,0,53.79,0.83,0.68,0,0,1.74,12.35
 36-46,0,0,0,0,0,7.95,0,4.26,0,0,0,0,5.02,41.19,0,0,0,0,2.37,12.21
 48-58,0,0,0.63,7.48,1.57,3.18,0,0.52,0,0.4,5.02,0.59,0.49,35.91,0,0,0,0,0,4.65
 60-70,0,0,0,0,0,5.16,0,0,1.79,0,5.53,0,0,7.47,0,0,0.91,0,0,0
 72-82,0,0,0.68,0.67,0.49,19.75,0,0,7.99,2.38,16.79,0,0.82,8.76,0.52,0,0,0,0,0
 84-94,0,1.42,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,1.48
 96-106,0,0,0.8,0,0,0,0.62,0.72,0,0,5.19,0,0,1.47,0,0,0,0,0.86,0
108-118,0,0,0.44,1.04,1.82,1.57,0,0.63,0,1.75,7.93,0,0,1.02,0,0,0,0,0,0
120,0,0,0,0,0,2.56,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0
